Hãng Sản Xuất,Độ Dày,Trọng Lượng,RAM,Bộ Nhớ,Dung Lượng Pin,Hệ Điều Hành,Giá Bán,Hãng CPU,Số Lõi,Xung nhịp tối đa,Cache,Loại Màn Hình,Độ Phân Giải,Số Cổng Giao Tiếp,Hãng GPU,Phân Loại
lenovo,15.0,1.19,32.0,1024.0,70.0,win 11,36990000.0,ultra 7,12.0,4.8,12.0,led,2880x1800,5,intel,Thiết kế đồ họa / Multimedia
lenovo,19.5,2.3,32.0,1024.0,61.154671717171716,win 11,64990000.0,ryzen 7,10.0,4.6,16.0,ips,3200x2000,6,nvidia,Thiết kế đồ họa / Multimedia
lenovo,19.5,2.3,32.0,1024.0,61.154671717171716,win 11,64990000.0,ryzen 7,10.0,4.6,16.0,ips,3200x2000,6,nvidia,Thiết kế đồ họa / Multimedia
asus,20.0,2.1,32.0,1024.0,61.154671717171716,win 11,36400000.0,i7,16.0,4.9,24.0,ips,1920x1200,5,nvidia,Gaming
acer,19.0,2.1,48.0,512.0,54.8,win 11,21990000.0,i7,10.0,4.7,24.0,ips,1920x1080,8,nvidia,Gaming
acer,19.0,2.1,144.0,2048.0,53.0,win 11,21690000.0,i5,8.0,4.6,12.0,ips/led,1920x1200,6,nvidia,Gaming
acer,19.0,2.1,144.0,2048.0,53.0,win 11,23490000.0,i7,10.0,4.9,24.0,ips/led,1920x1200,6,nvidia,Gaming
acer,19.0,2.1,48.0,512.0,54.8,win 11,19690000.0,i5,8.0,4.4,12.0,ips,1920x1080,8,nvidia,Gaming
asus,24.75,2.4,16.0,512.0,61.154671717171716,win 11,35990000.0,i7,16.0,4.9,24.0,ips,1920x1200,5,nvidia,Gaming
lenovo,19.9,1.9,16.0,512.0,61.154671717171716,win 11,21990000.0,ryzen 7,8.0,4.75,16.0,led,2560x1600,5,amd,Thiết kế đồ họa / Multimedia
lenovo,15.98,1.6,32.0,1024.0,57.0,no os,35990000.0,core 1,12.0,4.8,12.0,ips,1920x1200,5,intel,Di động / Mỏng nhẹ / Ultrabook
asus,24.75,2.4,16.0,512.0,61.154671717171716,win 11,35091000.0,i7,16.0,4.9,24.0,ips,1920x1200,0,nvidia,Gaming
asus,24.75,2.4,16.0,512.0,61.154671717171716,win 11,34191000.0,i5,12.0,4.6,20.0,ips,1920x1200,5,nvidia,Gaming
lenovo,25.0,2.5,16.0,512.0,61.154671717171716,win 11,28990000.0,i7,16.0,4.9,24.0,ips,1920x1080,7,nvidia,Kỹ thuật / Lập trình
acer,19.9,1.9,8.0,1024.0,61.154671717171716,win 11,17290000.0,i7,14.0,4.9,24.0,ips,1920x1080,2,intel,Kỹ thuật / Lập trình
lenovo,25.0,2.5,16.0,512.0,61.154671717171716,win 11,22990000.0,i5,12.0,4.6,20.0,ips,1920x1080,7,nvidia,Kỹ thuật / Lập trình
acer,19.0,2.1,16.0,512.0,61.154671717171716,win 11,22450000.0,i5,8.0,4.6,12.0,ips,1920x1080,6,nvidia,Gaming
lenovo,15.98,1.6,16.0,512.0,47.0,win 11,22590000.0,ultra 5,12.0,4.3,12.0,ips,1920x1200,6,intel,Di động / Mỏng nhẹ / Ultrabook
lenovo,15.98,1.6,56.0,512.0,47.0,win 11,22790000.0,i7,14.0,5.0,12.0,ips,1920x1200,6,intel,Di động / Mỏng nhẹ / Ultrabook
lenovo,15.98,1.6,32.0,1024.0,57.0,win 11,26990000.0,ultra 5,14.0,4.5,18.0,ips,1920x1200,6,intel,Di động / Mỏng nhẹ / Ultrabook
lenovo,15.98,1.6,16.0,512.0,61.154671717171716,no os,25990000.0,ultra 7,16.0,4.8,24.0,ips,1920x1200,6,intel,Di động / Mỏng nhẹ / Ultrabook
lenovo,19.85,1.6,16.0,1024.0,47.0,win 11,32990000.0,ultra 7,16.0,4.8,24.0,ips,2560x1600,5,intel,Thiết kế đồ họa / Multimedia
lenovo,15.98,1.6,16.0,512.0,61.154671717171716,no os,22290000.0,ultra 5,14.0,4.5,18.0,ips,1920x1200,6,intel,Di động / Mỏng nhẹ / Ultrabook
lenovo,15.98,1.6,16.0,512.0,47.0,win 11,23990000.0,ultra 5,12.0,4.5,18.0,ips,1920x1200,6,intel,Di động / Mỏng nhẹ / Ultrabook
asus,19.9,1.8,8.0,512.0,61.154671717171716,win 11,20890000.0,ultra 5,12.0,4.9,18.0,led/ips,1920x1200,3,intel,Kỹ thuật / Lập trình
lenovo,25.0,2.5,16.0,512.0,57.0,win 11,19690000.0,i5,12.0,4.4,12.0,ips,1920x1080,6,nvidia,Kỹ thuật / Lập trình
asus,24.75,2.4,16.0,1024.0,90.0,win 11,58900000.0,ryzen 9,12.0,5.1,36.0,led,2560x1600,0,nvidia,Gaming
asus,24.75,2.4,48.0,1024.0,90.0,win 11,53590000.0,i9,24.0,5.8,38.0,ips,2560x1600,4,nvidia,Gaming
asus,24.75,2.4,48.0,1024.0,61.154671717171716,win 11,43590000.0,i9,24.0,5.8,36.0,ips,2560x1600,5,nvidia,Gaming
hp,25.0,2.45,16.0,512.0,61.154671717171716,win 11,30490000.0,i7,14.0,5.0,24.0,ips,1920x1080,4,nvidia,Kỹ thuật / Lập trình
lenovo,15.98,1.6,16.0,512.0,57.0,win 11,27790000.0,ultra 7,16.0,4.8,24.0,ips,1920x1200,6,intel,Di động / Mỏng nhẹ / Ultrabook
lenovo,15.98,1.6,16.0,512.0,47.0,win 11,26990000.0,ultra 7,16.0,4.8,24.0,ips,1920x1200,6,intel,Di động / Mỏng nhẹ / Ultrabook
lenovo,15.98,1.6,16.0,512.0,57.0,win 11,32990000.0,i7,10.0,4.6,16.0,none,1920x1080,0,intel,Di động / Mỏng nhẹ / Ultrabook
lenovo,15.98,1.6,16.0,512.0,54.7,no os,28990000.0,ultra 5,12.0,4.3,12.0,ips,1920x1200,0,intel,Di động / Mỏng nhẹ / Ultrabook
lenovo,15.98,1.6,16.0,512.0,57.0,no os,32990000.0,core 1,12.0,4.8,12.0,ips,1920x1200,5,intel,Di động / Mỏng nhẹ / Ultrabook
lenovo,19.85,1.6,16.0,512.0,47.0,win 11,25990000.0,ultra 7,12.0,4.8,12.0,ips,1920x1200,5,intel,Kỹ thuật / Lập trình
dell,25.0,2.5,24.0,1024.0,61.154671717171716,win 11,21520000.0,i9,24.0,5.4,36.0,ips,1920x1080,6,nvidia,Gaming
acer,15.98,2.4,384.0,6144.0,99.98,win 11,149990000.0,ultra 9,24.0,5.4,36.0,led/ips,3840x2400,5,nvidia,Gaming
acer,15.98,2.4,256.0,3072.0,99.98,win 11,99990000.0,ultra 9,24.0,5.4,36.0,led/ips,2560x1600,4,nvidia,Gaming
acer,15.98,2.4,32.0,2048.0,61.154671717171716,win 11,64490000.0,ultra 9,24.0,5.4,36.0,led,2560x1600,5,nvidia,Gaming
acer,15.98,2.4,16.0,1024.0,61.154671717171716,win 11,69990000.0,ultra 9,24.0,5.4,36.0,led,2560x1600,5,intel,Gaming
lenovo,19.85,1.6,16.0,1024.0,47.0,win 11,21520000.0,ultra 7,12.0,4.8,12.0,ips,1920x1200,5,intel,Kỹ thuật / Lập trình
lenovo,15.98,1.6,16.0,512.0,47.0,win 11,27290000.0,ultra 7,12.0,4.8,24.0,none,1920x1080,6,intel,Di động / Mỏng nhẹ / Ultrabook
lenovo,16.1,1.6,96.0,1024.0,45.0,win 11,21520000.0,core 1,12.0,4.8,12.0,ips,1920x1200,7,intel,Di động / Mỏng nhẹ / Ultrabook
dell,21.9,2.0,8.0,512.0,61.154671717171716,ubuntu,16490000.0,i5,8.0,4.6,12.0,ips,1920x1080,4,intel,Kỹ thuật / Lập trình
asus,14.9,1.7,16.0,512.0,61.154671717171716,win 11,23490000.0,core 7,10.0,5.2,24.0,ips,1920x1200,2,nvidia,Di động / Mỏng nhẹ / Ultrabook
asus,19.9,1.8,16.0,512.0,42.0,win 11,20790000.0,ryzen 7,8.0,3.5,16.0,ips,1920x1200,3,amd,Kỹ thuật / Lập trình
asus,19.9,1.8,16.0,512.0,61.154671717171716,win 11,23490000.0,ultra 5,12.0,4.5,18.0,led,2880x1800,3,intel,Thiết kế đồ họa / Multimedia
asus,19.9,1.8,32.0,512.0,61.154671717171716,win 11,18390000.0,i5,8.0,4.6,12.0,led/ips,1920x1200,3,intel,Laptop 2 trong 1 / Cảm ứng
asus,19.9,1.8,32.0,512.0,61.154671717171716,win 11,18990000.0,i7,14.0,4.9,24.0,ips,1920x1200,3,intel,Kỹ thuật / Lập trình
asus,14.9,1.2,16.0,512.0,61.154671717171716,win 11,29990000.0,qualcomm snapdragon,8.0,2.97,30.0,led,1920x1200,3,qualcomm,Thiết kế đồ họa / Multimedia
hp,19.5,1.9,8.0,512.0,61.154671717171716,win 11,15990000.0,i5,3.0,4.4,12.0,ips,1920x1080,4,intel,Văn phòng / Học tập
asus,15.7,1.7,16.0,512.0,42.0,win 11,14990000.0,i7,10.0,5.0,12.0,ips,1920x1080,0,intel,Di động / Mỏng nhẹ / Ultrabook
hp,19.5,1.9,8.0,512.0,61.154671717171716,win 11,21520000.0,i5,3.0,4.4,12.0,ips,1920x1080,4,intel,Văn phòng / Học tập
asus,19.9,1.8,8.0,512.0,61.154671717171716,win 11,27490000.0,ultra 5,12.0,4.5,8.0,led,2880x1800,3,intel,Thiết kế đồ họa / Multimedia
dell,25.0,2.5,16.0,512.0,61.154671717171716,win 11,35590000.0,i7,16.0,4.9,24.0,ips,1920x1080,6,nvidia,Gaming
msi,15.7,1.7,32.0,512.0,99.9,win 11,45990000.0,ultra 9,12.0,5.1,12.0,led,3840x2400,4,intel,Thiết kế đồ họa / Multimedia
msi,15.7,1.7,16.0,1024.0,61.154671717171716,win 11,38990000.0,i5,10.0,4.6,16.0,led,7680x4320,5,intel,Thiết kế đồ họa / Multimedia
msi,24.9,2.3,16.0,1024.0,61.154671717171716,win 11,36990000.0,i7,10.0,4.9,24.0,ips,1920x1080,5,nvidia,Kỹ thuật / Lập trình
msi,24.9,2.3,16.0,512.0,61.154671717171716,win 11,24990000.0,i7,10.0,4.9,24.0,ips,1920x1080,5,intel,Kỹ thuật / Lập trình
msi,24.75,2.3,16.0,1024.0,61.154671717171716,win 11,32990000.0,i7,20.0,5.5,30.0,ips,1920x1200,5,nvidia,Kỹ thuật / Lập trình
msi,24.75,2.3,16.0,1024.0,61.154671717171716,win 11,32990000.0,i7,20.0,5.5,30.0,ips,1920x1200,5,nvidia,Kỹ thuật / Lập trình
msi,15.6,1.8,16.0,512.0,61.154671717171716,win 11,20790000.0,i5,8.0,4.6,12.0,ips,1366x768,3,nvidia,Di động / Mỏng nhẹ / Ultrabook
lenovo,16.1,1.6,16.0,512.0,45.0,win 11,21490000.0,core 1,12.0,4.3,12.0,ips,1920x1200,7,intel,Di động / Mỏng nhẹ / Ultrabook
lenovo,16.1,1.6,16.0,512.0,45.0,win 11,20490000.0,core 1,12.0,4.3,12.0,ips,1920x1200,7,intel,Di động / Mỏng nhẹ / Ultrabook
asus,17.0,1.7,8.0,256.0,61.154671717171716,win 11,10590000.0,i3,6.0,4.5,10.0,ips,1920x1080,3,intel,Di động / Mỏng nhẹ / Ultrabook
acer,19.9,1.9,8.0,2048.0,48.0,win 11,13990000.0,i5,8.0,4.6,12.0,ips,1920x1200,6,intel,Kỹ thuật / Lập trình
acer,19.9,1.9,8.0,512.0,61.154671717171716,win 11,16750000.0,i7,14.0,5.0,12.0,ips,1920x1200,6,intel,Kỹ thuật / Lập trình
asus,24.75,2.4,48.0,512.0,61.154671717171716,win 11,21520000.0,i7,16.0,4.9,24.0,ips,2560x1600,4,nvidia,Gaming
asus,24.75,2.4,48.0,1024.0,90.0,win 11,21520000.0,i5,10.0,4.6,20.0,ips,1920x1200,6,nvidia,Gaming
asus,14.9,1.2,16.0,512.0,61.154671717171716,win 11,59990000.0,ultra 9,12.0,5.4,24.0,led,2880x1800,3,intel,Thiết kế đồ họa / Multimedia
asus,14.9,1.2,32.0,1024.0,61.154671717171716,win 11,21520000.0,ultra 9,12.0,5.4,24.0,led,2880x1800,3,intel,Thiết kế đồ họa / Multimedia
asus,14.9,1.2,16.0,512.0,61.154671717171716,win 11,21520000.0,ultra 7,12.0,5.1,24.0,led,2880x1800,3,intel,Thiết kế đồ họa / Multimedia
asus,14.9,1.2,16.0,512.0,61.154671717171716,win 11,29790000.0,ultra 5,14.0,4.9,18.0,led,2880x1800,3,intel,Thiết kế đồ họa / Multimedia
acer,19.9,1.9,72.0,512.0,58.0,win 11,10490000.0,i3,6.0,4.5,12.0,ips,1920x1200,6,intel,Văn phòng / Học tập
lenovo,15.98,1.6,96.0,1024.0,52.5,win 11,37590000.0,core 1,12.0,4.8,12.0,ips,2240x1400,6,intel,Di động / Mỏng nhẹ / Ultrabook
lenovo,15.98,1.6,16.0,512.0,61.154671717171716,win 11,34590000.0,core 1,12.0,4.8,12.0,ips,2240x1400,6,intel,Di động / Mỏng nhẹ / Ultrabook
dell,21.9,2.0,8.0,512.0,61.154671717171716,win 11,17790000.0,i5,8.0,4.6,12.0,ips,1920x1080,4,intel,Kỹ thuật / Lập trình
lenovo,15.98,1.6,16.0,512.0,61.154671717171716,win 11,34990000.0,ultra 7,12.0,4.8,24.0,ips,2240x1400,6,intel,Di động / Mỏng nhẹ / Ultrabook
lenovo,15.98,1.6,16.0,512.0,61.154671717171716,win 11,29590000.0,i7,10.0,5.0,12.0,ips,1920x1200,5,intel,Di động / Mỏng nhẹ / Ultrabook
dell,22.0,2.1,16.0,512.0,61.154671717171716,win 11,20590000.0,i7,14.0,5.0,12.0,ips,1920x1080,3,intel,Kỹ thuật / Lập trình
msi,19.9,1.7,8.0,512.0,61.154671717171716,win 11,15590000.0,i5,8.0,4.6,12.0,ips,1920x1080,5,intel,Kỹ thuật / Lập trình
msi,15.6,1.8,88.0,512.0,56.0,win 11,18790000.0,ryzen 5,8.0,4.5,16.0,ips/led,1920x1080,3,nvidia,Di động / Mỏng nhẹ / Ultrabook
msi,15.6,1.8,16.0,512.0,61.154671717171716,win 11,18990000.0,i5,8.0,4.6,12.0,ips,1366x768,3,nvidia,Di động / Mỏng nhẹ / Ultrabook
msi,19.9,1.7,16.0,512.0,61.154671717171716,win 11,14890000.0,i5,10.0,4.6,12.0,none,1920x1080,5,intel,Kỹ thuật / Lập trình
msi,24.0,2.5,16.0,512.0,61.154671717171716,win 11,23890000.0,i7,10.0,4.9,24.0,ips,1920x1200,0,nvidia,Gaming
msi,23.0,2.4,8.0,1024.0,61.154671717171716,win 11,39990000.0,i9,24.0,5.4,36.0,ips,2560x1600,5,nvidia,Thiết kế đồ họa / Multimedia
msi,22.0,2.3,72.0,1024.0,61.154671717171716,win 11,20990000.0,i5,8.0,4.7,18.0,ips,1920x1080,5,nvidia,Kỹ thuật / Lập trình
msi,22.0,2.3,72.0,1024.0,53.0,win 11,22990000.0,i7,14.0,4.9,24.0,ips,1920x1080,5,nvidia,Kỹ thuật / Lập trình
msi,15.7,1.7,16.0,1024.0,61.154671717171716,win 11,26990000.0,ultra 7,14.0,4.8,24.0,ips,1600x900,5,nvidia,Thiết kế đồ họa / Multimedia
msi,15.7,1.7,16.0,512.0,61.154671717171716,win 11,32890000.0,ultra 7,12.0,4.8,24.0,ips,2880x1800,0,nvidia,Thiết kế đồ họa / Multimedia
lenovo,15.0,1.4,16.0,512.0,71.0,win 11,26790000.0,ultra 5,14.0,4.5,18.0,led,1920x1200,6,intel,Thiết kế đồ họa / Multimedia
asus,19.9,1.8,8.0,512.0,42.0,win 11,10990000.0,i3,6.0,4.5,10.0,led,1920x1080,4,intel,Thiết kế đồ họa / Multimedia
acer,19.9,1.9,96.0,512.0,48.0,win 11,13990000.0,i7,14.0,4.7,12.0,ips/led,1920x1200,6,intel,Kỹ thuật / Lập trình
acer,19.9,1.9,16.0,512.0,48.0,win 11,14490000.0,i5,8.0,4.5,18.0,ips,1920x1200,7,intel,Kỹ thuật / Lập trình
dell,18.99,1.9,8.0,512.0,61.154671717171716,win 11,13990000.0,i5,8.0,4.4,12.0,led/wva,1920x1080,3,intel,Kỹ thuật / Lập trình
asus,24.9,2.3,16.0,1024.0,48.0,win 11,20790000.0,ryzen 7,8.0,4.5,20.0,ips,1366x768,5,nvidia,Gaming
dell,15.7,1.3,16.0,1024.0,56.0,win 11,75990000.0,i9,10.0,4.6,16.0,led,3200x2000,2,nvidia,Thiết kế đồ họa / Multimedia
dell,15.7,1.3,16.0,1024.0,61.154671717171716,win 11,51990000.0,ultra 5,12.0,4.5,18.0,ips,2560x1600,1,intel,Thiết kế đồ họa / Multimedia
dell,22.0,2.1,16.0,1024.0,61.154671717171716,win 11,22990000.0,core 5,4.0,5.0,12.0,ips,1920x1200,4,intel,Văn phòng / Học tập
hp,18.0,1.8,8.0,512.0,45.0,win 11,32790000.0,i5,10.0,4.6,16.0,ips,1920x1200,5,nvidia,Thiết kế đồ họa / Multimedia
hp,18.0,1.8,16.0,512.0,61.154671717171716,win 11,27490000.0,i5,10.0,4.6,16.0,ips,1920x1200,5,intel,Thiết kế đồ họa / Multimedia
acer,19.0,2.1,80.0,4096.0,61.154671717171716,win 11,31990000.0,i7,14.0,4.9,24.0,ips,1920x1080,7,nvidia,Gaming
acer,19.9,1.7,8.0,2048.0,61.154671717171716,win 11,10490000.0,i3,6.0,4.4,10.0,ips,1920x1200,5,intel,Văn phòng / Học tập
asus,19.9,1.8,8.0,512.0,61.154671717171716,win 11,31990000.0,ryzen 9,12.0,5.1,36.0,led,2880x1800,3,amd,Thiết kế đồ họa / Multimedia
lenovo,15.98,1.6,32.0,512.0,61.154671717171716,win 11,51990000.0,ultra 5,12.0,4.5,18.0,ips,1920x1200,5,intel,Di động / Mỏng nhẹ / Ultrabook
hp,20.0,2.0,16.0,512.0,61.154671717171716,win 11,24590000.0,ultra 5,12.0,4.3,12.0,ips,1920x1200,4,intel,Kỹ thuật / Lập trình
hp,20.0,2.0,16.0,512.0,61.154671717171716,win 11,23990000.0,ultra 5,12.0,4.3,12.0,ips,1920x1200,4,intel,Kỹ thuật / Lập trình
hp,23.5,1.7,16.0,1024.0,61.154671717171716,win 11,58990000.0,ryzen 9,8.0,5.2,16.0,ips,2560x1440,5,nvidia,Thiết kế đồ họa / Multimedia
hp,18.2,1.7,16.0,1024.0,61.154671717171716,win 11,52990000.0,ultra 7,12.0,4.8,24.0,led,2880x1800,3,intel,Laptop 2 trong 1 / Cảm ứng
asus,19.9,1.8,8.0,512.0,61.154671717171716,win 11,13990000.0,ryzen 5,8.0,4.3,4.0,led,1920x1080,4,amd,Thiết kế đồ họa / Multimedia
hp,17.9,1.7,16.0,512.0,61.154671717171716,win 11,23590000.0,ultra 7,12.0,4.8,24.0,none,1366x768,3,intel,Di động / Mỏng nhẹ / Ultrabook
hp,17.9,1.7,16.0,1024.0,61.154671717171716,win 11,20790000.0,ultra 5,14.0,5.0,18.0,none,1366x768,3,intel,Di động / Mỏng nhẹ / Ultrabook
hp,17.9,1.7,16.0,512.0,61.154671717171716,win 11,19990000.0,ultra 5,14.0,5.0,18.0,ips,1920x1080,0,intel,Di động / Mỏng nhẹ / Ultrabook
asus,24.9,2.3,16.0,1024.0,48.0,win 11,17890000.0,ryzen 7,8.0,4.5,16.0,ips,1920x1080,2,nvidia,Gaming
asus,25.15,2.3,16.0,512.0,90.0,win 11,28990000.0,i7,14.0,4.9,24.0,ips,1920x1080,3,nvidia,Gaming
hp,25.0,2.45,16.0,48.0,61.154671717171716,win 11,29990000.0,ryzen 5,8.0,5.0,16.0,ips,1920x1080,4,nvidia,Kỹ thuật / Lập trình
asus,24.9,2.3,48.0,512.0,61.154671717171716,win 11,30490000.0,i7,14.0,4.9,24.0,ips,1920x1200,3,nvidia,Gaming
lenovo,19.9,1.9,16.0,1024.0,57.0,win 11,25990000.0,ryzen 5,10.0,4.6,16.0,led,1920x1200,6,qualcomm,Thiết kế đồ họa / Multimedia
hp,18.0,1.8,8.0,512.0,61.154671717171716,win 11,27490000.0,ultra 7,3.0,4.8,24.0,ips,1920x1200,5,intel,Thiết kế đồ họa / Multimedia
dell,22.0,2.1,8.0,512.0,61.154671717171716,win 11,19990000.0,i5,8.0,4.6,12.0,wva,1920x1200,4,intel,Kỹ thuật / Lập trình
dell,17.9,1.87,8.0,1024.0,61.154671717171716,win 11,22690000.0,core 5,4.0,5.0,12.0,wva,1920x1200,4,intel,Di động / Mỏng nhẹ / Ultrabook
msi,19.9,1.7,8.0,512.0,61.154671717171716,win 11,11990000.0,i5,8.0,1.3,12.0,ips,2560x1440,3,intel,Thiết kế đồ họa / Multimedia
lenovo,17.0,1.7,48.0,512.0,38.0,win 11,12990000.0,i5,8.0,4.6,12.0,ips,1920x1080,7,intel,Di động / Mỏng nhẹ / Ultrabook
acer,24.9,2.1,16.0,4096.0,61.154671717171716,win 11,26590000.0,i7,14.0,4.9,24.0,ips,1920x1080,6,nvidia,Kỹ thuật / Lập trình
hp,19.9,1.79,8.0,512.0,61.154671717171716,win 11,19490000.0,i3,6.0,4.5,10.0,ips,1920x1080,4,intel,Thiết kế đồ họa / Multimedia
hp,19.9,1.42,8.0,512.0,61.154671717171716,win 11,11150000.0,i3,3.0,4.4,10.0,ips,1920x1080,5,intel,Di động / Mỏng nhẹ / Ultrabook
asus,17.9,1.7,8.0,512.0,42.0,win 11,13590000.0,core 5,10.0,4.6,16.0,none,1920x1080,0,intel,Di động / Mỏng nhẹ / Ultrabook
dell,19.9,1.83,8.0,512.0,61.154671717171716,win 11,15390000.0,i5,8.0,4.4,12.0,led,1920x1080,3,intel,Thiết kế đồ họa / Multimedia
hp,19.2,1.38,16.0,16.0,61.154671717171716,win 11,52900000.0,ultra 7,12.0,1.4,24.0,ips,1920x1200,0,intel,Laptop 2 trong 1 / Cảm ứng
hp,18.0,1.8,8.0,256.0,61.154671717171716,win 11,20490000.0,ultra 5,12.0,1.3,12.0,ips,1920x1200,5,intel,Thiết kế đồ họa / Multimedia
hp,18.0,1.8,8.0,512.0,61.154671717171716,win 11,21490000.0,ultra 5,12.0,1.3,12.0,ips,1920x1200,5,intel,Thiết kế đồ họa / Multimedia
hp,18.0,1.8,8.0,256.0,61.154671717171716,win 11,14790000.0,i3,6.0,4.5,10.0,ips,1920x1080,4,intel,Thiết kế đồ họa / Multimedia
hp,19.2,1.34,16.0,16.0,61.154671717171716,win 11,49990000.0,i7,10.0,2.0,12.0,ips,1920x1200,3,intel,Laptop 2 trong 1 / Cảm ứng
lenovo,17.0,1.8,8.0,512.0,61.154671717171716,win 11,14590000.0,i5,8.0,4.6,12.0,ips,1920x1080,7,intel,Di động / Mỏng nhẹ / Ultrabook
lenovo,18.0,1.81,16.0,56.0,47.0,win 11,18590000.0,i5,8.0,4.6,12.0,ips,1920x1200,6,intel,Kỹ thuật / Lập trình
dell,17.98,1.62,8.0,512.0,61.154671717171716,win 11,20090000.0,i7,14.0,5.0,12.0,ips,1920x1080,3,intel,Di động / Mỏng nhẹ / Ultrabook
asus,17.0,1.7,16.0,512.0,63.0,win 11,16290000.0,i5,10.0,4.6,16.0,ips,1920x1080,5,intel,Di động / Mỏng nhẹ / Ultrabook
asus,17.0,1.7,16.0,1024.0,63.0,win 11,21520000.0,i5,10.0,4.6,16.0,ips,2560x1600,4,intel,Thiết kế đồ họa / Multimedia
asus,17.0,1.7,16.0,512.0,63.0,win 11,19690000.0,i5,10.0,4.6,16.0,ips,1920x1080,4,intel,Di động / Mỏng nhẹ / Ultrabook
asus,17.0,1.7,16.0,512.0,63.0,win 11,16490000.0,i5,10.0,4.6,16.0,ips,1920x1080,4,intel,Di động / Mỏng nhẹ / Ultrabook
hp,15.9,1.31,16.0,512.0,61.154671717171716,win 11,26490000.0,ultra 7,12.0,4.8,12.0,ips,1920x1200,5,intel,Di động / Mỏng nhẹ / Ultrabook
lenovo,17.0,1.8,8.0,512.0,61.154671717171716,no os,12990000.0,i5,8.0,4.6,12.0,ips,1920x1080,7,intel,Di động / Mỏng nhẹ / Ultrabook
acer,16.5,1.26,16.0,1024.0,61.154671717171716,win 11,39990000.0,ultra 7,12.0,4.8,12.0,led,2880x1880,5,intel,Thiết kế đồ họa / Multimedia
acer,16.5,1.26,16.0,1024.0,61.154671717171716,win 11,34990000.0,ultra 5,12.0,4.5,8.0,led,2880x1880,5,intel,Thiết kế đồ họa / Multimedia
asus,19.9,1.42,8.0,1024.0,61.154671717171716,win 11,32590000.0,qualcomm snapdragon,12.0,3.4,42.0,led,2880x1620,2,intel,Thiết kế đồ họa / Multimedia
acer,17.5,1.27,16.0,512.0,61.154671717171716,win 11,21590000.0,ultra 7,12.0,4.8,12.0,led,1920x1200,5,intel,Thiết kế đồ họa / Multimedia
dell,21.9,2.0,8.0,512.0,61.154671717171716,ubuntu,14990000.0,i3,10.0,4.6,16.0,wva/ips,1920x1080,3,intel,Kỹ thuật / Lập trình
hp,18.0,1.39,16.0,512.0,61.154671717171716,win 11,27590000.0,ultra 5,12.0,4.7,12.0,led,7680x4320,2,intel,Laptop 2 trong 1 / Cảm ứng
hp,23.0,2.29,16.0,48.0,61.154671717171716,win 11,31790000.0,i7,14.0,3.7,30.0,ips,1920x1080,5,nvidia,Gaming
hp,23.5,2.29,16.0,16.0,61.154671717171716,win 11,18990000.0,i5,8.0,4.4,12.0,ips,1920x1080,5,nvidia,Kỹ thuật / Lập trình
lg,16.9,1.1,24.0,512.0,72.0,win 11,34900000.0,ultra 5,12.0,4.5,18.0,ips,1920x1200,4,intel,Di động / Mỏng nhẹ / Ultrabook
