Hãng Sản Xuất,Độ Dày,Trọng Lượng,khoi_luong,CPU,RAM,Bộ Nhớ,HDD,SSD,GPU,Dung Lượng Pin,Hệ Điều Hành,Mạng WiFi,Bluetooth,Âm Thanh,Bảo Mật,Đọc Thẻ,Mạng LAN,Bàn Phím,Màu Sắc,Chất Liệu,Cổng Giao Tiếp,Khe Cắm,Màn Hình,Phụ Kiện Đi Kèm,Khả Năng Nâng Cấp,Ổ Đĩa Quang,Đèn Led,Nguồn,Tính Năng Khác,Tên Sản Phẩm,Giá Bán,Loại Sản Phẩm,Mẫu Mã,Số Cổng Lưu Trữ Tối Đa,Kết Nối,Webcam,Camera,Kết Nối Không Dây,Giao Tiếp Mạng,NPU,Cổng IO,Cổng Xuất Hình,Loa,Năm Sản Xuất,Thiết Kế Chất Liệu Vỏ,Hệ Điều Hành Bản Quyền Đi Kèm,Phần Mềm Có Sẵn,Card Mở Rộng,Unnamed 161,Mãy Tính Xách Tay
Lenovo,314.4 x 222.1 x 16.9-17.9 mm,1.4 kg,,"Intel® Core™ i7-13620H ( 2.4 GHz - 4.9 GHz / 12MB / 10 nhân, 16 luồng ), Non-EVO",24GB (16GB + 8GB Onboard) DDR5 4800MHz ( 1 Khe cắm / Hỗ trợ tối đa 24GB ),512GB SSD M.2 NVMe ( 2 x M.2 2242 ),,,Onboard graphics Intel UHD Graphics,"60 Wh , Pin liền","Windows 11 Home SL, English",,,,,,,,,,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI",,"14"" ( 1920 x 1200 ) WUXGA IPS , không cảm ứng , 300 nits , 45% NTSC , Màn hình chống lóa",,,,không đèn,,,Laptop Lenovo IdeaPad Slim 3 14IRH10 83K00009VN Xám,19590000.0,Máy tính xách tay,IdeaPad Slim 3 14IRH10 83K00009VN,,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.2",HD webcam,,,,,,,,,,,,,,
Lenovo,,1.19 kg,,"Intel® Core™ Ultra 7 258V (2.20GHz up to 4.80GHz, 12MB Cache)",32GB Soldered LPDDR5x-8533MHz,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,,,Intel® Arc™ Graphics 140V,70WHrs,Windows® 11 Home Single Language,,,,,,,,,,"1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On
2 x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps), with USB PD 3.0 and DisplayPort™ 2.1
1 x HDMI® 2.1, up to 4K/60Hz
1 x Headphone / microphone combo jack (3.5mm)",,"14inch 2.8K WQXGA+ (2880x1800) OLED, 1100nits (peak) / 500nits (typical) Glossy, 100% DCI-P3, 120Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ True Black 1000, X-Rite®, PureSight Pro",,,,,,,Laptop Lenovo Yoga Slim 7 14ILL10 83JX0037VN Xám,36990000.0,Máy tính xách tay,Yoga Slim 7 14ILL10 83JX0037VN,,"Wi-Fi® 7, 802.11be 2x2
Bluetooth 5.4",5.0MP + IR with E-shutter,,,,,,,,,,,,,,
Lenovo,,,2.24 kg,,,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe® (Còn trống 1x M.2 2280 PCIe® 4.0 x4 slots),,,"NVIDIA® GeForce RTX™ 4070 8GB GDDR6, Boost Clock 2175MHz, TGP 130W
AI TOPs: 321 TOPs",4 Cell 99.99 WHr,Windows® 11 Home,,,,,,,,Trắng,,"1x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps), with PD 140W and DisplayPort™ 1.4
1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4
1x USB-C® (USB 5Gbps / USB 3.2 Gen 1)
1x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On
1x HDMI® 2.1, up to 8K/60Hz
1x Headphone / microphone combo jack (3.5mm)
1x Power connector
FingerPrint",,"16"" 3.2K (3200x2000) IPS 430nits Anti-glare, 100% DCI-P3, 165Hz, Dolby® Vision®, G-SYNC®, Low Blue Light",,,,,,,Laptop Lenovo Legion 7 16IRX9 83FD006JVN Trắng,64990000.0,,Lenovo Legion 7 16IRX9 83FD004MVN,,,FHD 1080p with E-shutter,,,,,,,,,,,,,,
Lenovo,,,2.24 kg,,,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe® (Còn trống 1x M.2 2280 PCIe® 4.0 x4 slots),,,"NVIDIA® GeForce RTX™ 4070 8GB GDDR6, Boost Clock 2175MHz, TGP 130W
AI TOPs: 321 TOPs",4 Cell 99.99 WHr,Windows® 11 Home,,,,,,,,Đen,,"1x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps), with PD 140W and DisplayPort™ 1.4
1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4
1x USB-C® (USB 5Gbps / USB 3.2 Gen 1)
1x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On
1x HDMI® 2.1, up to 8K/60Hz
1x Headphone / microphone combo jack (3.5mm)
1x Power connector
FingerPrint",,"16"" 3.2K (3200x2000) IPS 430nits Anti-glare, 100% DCI-P3, 165Hz, Dolby® Vision®, G-SYNC®, Low Blue Light",,,,,,,Laptop Lenovo Legion 7 16IRX9 83FD004MVN Đen,64990000.0,,Lenovo Legion 7 16IRX9 83FD004MVN,,,FHD 1080p with E-shutter,,,,,,,,,,,,,,
Asus,,,,"Intel Core i7-13650HX 2.6 GHz up to 4.9 GHz, 24MB",32GB DDR5-4800Mhz (2 x16GB),1TB SSD M.2 PCIe 4.0 NVMe,,,Nvidia GeForce RTX 4060 8GB GDDR6,4 Cell -90WHrs,Windows 11 Home,,Bluetooth 5.3,,,,10/100/1000 Mbps,,Xám,,"1 x RJ45 LAN port, 1 x Thunderbolt 4 with support for DisplayPort (data speed up to 40Gbps), 1 x USB 3.2 Gen 2 Type-C with support for DisplayPort / power delivery / G-SYNC (data speed up to 10Gbps), 2 x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps), 1 x HDMI 2.1 FRL",,"16 inch FHD+ (1920 x 1200, WUXGA) 165Hz, 250nits, Anti-glare display",,,,,,,Laptop Asus Gaming ROG Strix G16 G614JV-N3515W Xám,36400000.0,,G614JV-N3515W,,,720P HD,,,,,,,,,,,,,,
Acer,,,,"IIntel® Core™ i7-12650H (upto 4.7GHz, 10 nhân, 16 luồng, 24MB)",16GB DDR4 Nâng cấp tối đa 32GB,,,"512GB PCIe NVMe SSD, 2 khe cắm SSD, hỗ trợ nâng cấp tối đa 4TB",NVIDIA® GeForce RTX™ 3050 4GB GDDR6,54.8Wh,Windows 11 Home Single Language,,,,,Micro SD card reader,,,Đen,,"USB Type-C
2x USB Type-C™ ports
USB Standard A
2x USB Standard-A ports, supporting:
• One port for USB 2.0
• One port for USB 3.2 Gen 1
HDMI® 2.1 port with HDCP support
Ethernet (RJ-45) port
3.5 mm headphone/speaker jack, supporting headsets with built-in microphone
DC-in jack for AC adapter
microSD™ Card reader
Mini DisplayPort™ 1.4",,"15.6"" FHD IPS 144Hz SlimBezel, FHD (1920x1080), 250nits, 45% NTSC, 144Hz",,,,,,,Laptop Acer Gaming Aspire 7 A715-59G-73LB NH.QX6SV.002 Đen,21990000.0,,A715-59G-57TU NH.QX6SV.001,,,,,"WLAN
• 802.11a/b/g/n/ac+ax wireless LAN
• Dual Band (2.4 GHz and 5 GHz)
• MU-MIMO technology",,,,,,,,,,,,
Acer,,,,"Intel® Core™ i5-13420H (upto 4.6GHz, 8 nhân, 12 luồng, 12MB)",16 GB ( 1*8GB Onboard + 1*8GB rời) Nâng cấp lên tối đa 56GB (8GB Onboard + 48GB 1 thanh RAM rời),"512GB PCIe NVMe SSD, hỗ trợ nâng cấp tối đa 2TB",,,"NVIDIA® GeForce® RTX™ 3050 with 6 GB of dedicated GDDR6 VRAM, supporting 2560 NVIDIA® CUDA® Cores.","53Wh 3-cell Li-ion battery
100W TypeC adapter",Win 11H,"WLAN
• 802.11a/b/g/n/ac+ax wireless LAN
• Dual Band (2.4 GHz and 5 GHz)
• 2x2 MU-MIMO technology

WPAN
• Bluetooth® 5.0""WLAN
• 802.11a/b/g/n/ac+ax wireless LAN
• Dual Band (2.4 GHz and 5 GHz)
• 2x2 MU-MIMO technology","Bluetooth® 5.0""",,"BIOS user, supervisor passwords,
Kensington lock slot",,,,Pearl White,Plastic,"USB Type-C
1x USB Type-C™ port supporting:
• USB 3.2 Gen 2 (up to 10 Gbps)
• Thunderbolt™ 4
• USB charging 5 V; 3 A
• DC-in port 20 V; 65 W
USB Standard A
2x USB Standard-A ports, supporting:
• One port for USB 3.2 Gen 1
• One port for USB 3.2 Gen 1 featuring power off USB charging
3.5 mm headphone/speaker jack, supporting headsets with built-in microphone
HDMI® 2.1 port with HDCP support
Ethernet (RJ-45) port",,"16"" FHD+ IPS 165Hz NTSC 45%, 300nits , Acer ComfyView™ LED-backlit TFT LCD",,,,,,,Laptop Acer Gaming Nitro Lite 16 NL16-71G-56WQ NH.D59SV.001 Pearl White,21690000.0,,NL16-71G-56WQ NH.D59SV.001,,,"Video conferencing
Camera FHD Camera MISC 2M FHD Camera_CTE",,,,,,,,,,,,,,
Acer,,,,"Intel® Core™ i7-13620H (upto 4.9GHz, 10 nhân, 16 luồng, 24MB)",16 GB ( 1*8GB Onboard + 1*8GB rời) Nâng cấp lên tối đa 56GB (8GB Onboard + 48GB 1 thanh RAM rời),"512GB PCIe NVMe SSD, hỗ trợ nâng cấp tối đa 2TB",,,"NVIDIA® GeForce® RTX™ 3050 with 6 GB of dedicated GDDR6 VRAM, supporting 2560 NVIDIA® CUDA® Cores.","53Wh 3-cell Li-ion battery
100W TypeC adapter",Win 11H,"WLAN
• 802.11a/b/g/n/ac+ax wireless LAN
• Dual Band (2.4 GHz and 5 GHz)
• 2x2 MU-MIMO technology

WPAN
• Bluetooth® 5.0""WLAN
• 802.11a/b/g/n/ac+ax wireless LAN
• Dual Band (2.4 GHz and 5 GHz)
• 2x2 MU-MIMO technology","Bluetooth® 5.0""",,"BIOS user, supervisor passwords,
Kensington lock slot",,,,Pearl White,Plastic,"USB Type-C
1x USB Type-C™ port supporting:
• USB 3.2 Gen 2 (up to 10 Gbps)
• Thunderbolt™ 4
• USB charging 5 V; 3 A
• DC-in port 20 V; 65 W
USB Standard A
2x USB Standard-A ports, supporting:
• One port for USB 3.2 Gen 1
• One port for USB 3.2 Gen 1 featuring power off USB charging
3.5 mm headphone/speaker jack, supporting headsets with built-in microphone
HDMI® 2.1 port with HDCP support
Ethernet (RJ-45) port",,"16"" FHD+ IPS 165Hz NTSC 45%, 300nits , Acer ComfyView™ LED-backlit TFT LCD",,,,,,,Laptop Acer Gaming Nitro Lite 16 NL16-71G-71UJ NH.D59SV.002 Pearl White,23490000.0,,NL16-71G-71UJ NH.D59SV.002,,,"Video conferencing
Camera FHD Camera MISC 2M FHD Camera_CTE",,,,,,,,,,,,,,
Acer,,,,"Intel Core i5-12450H, lõi 8, luồng 12",16GB DDR4 Nâng cấp tối đa 32GB,,,"512GB PCIe NVMe SSD, 2 khe cắm SSD, hỗ trợ nâng cấp tối đa 4TB",NVIDIA® GeForce RTX™ 3050 4GB GDDR6,54.8Wh,Windows 11 Home Single Language,,,,,Micro SD card reader,,,Đen,,"USB Type-C
2x USB Type-C™ ports
USB Standard A
2x USB Standard-A ports, supporting:
• One port for USB 2.0
• One port for USB 3.2 Gen 1
HDMI® 2.1 port with HDCP support
Ethernet (RJ-45) port
3.5 mm headphone/speaker jack, supporting headsets with built-in microphone
DC-in jack for AC adapter
microSD™ Card reader
Mini DisplayPort™ 1.4",,"15.6"" FHD IPS 144Hz SlimBezel, FHD (1920x1080), 250nits, 45% NTSC, 144Hz",,,,,,,Laptop Acer Gaming Aspire 7 A715-59G-57TU NH.QX6SV.001 Đen,19690000.0,,A715-59G-57TU NH.QX6SV.001,,,,,"WLAN
• 802.11a/b/g/n/ac+ax wireless LAN
• Dual Band (2.4 GHz and 5 GHz)
• MU-MIMO technology",,,,,,,,,,,,
Asus,,,,"Intel® Core™ i7-13650HX (2.60GHz up to 4.90GHz, 24MB Cache)",,,,1TB PCIe® 4.0 NVMe™ M.2 SSD,,"4Cell, 90WHrs, 4S1P",Windows 11 Home bản quyền,Wi-Fi 6E(802.11ax) (Triple band) 2*2,Bluetooth 5.2,,,,,,Xám,,"1 x RJ45 LAN port
1 x Thunderbolt™ 4 support DisplayPort™
1 x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC
2 x USB 3.2 Gen 2 Type-A
1 x HDMI 2.1 FRL
1 x 3.5mm Combo Audio Jack",,"16-inch WUXGA (1920 x 1200) 16:10, 240Hz, 100% sRGB, IPS, Anti-glare",,,,,,,Laptop ASUS ROG Strix G16 G614JV-N4369W Xám,35990000.0,,G614JV-N4369W,,,720P HD camera,,,,,,,,,,,,,,
Lenovo,,,,"AMD Ryzen™ 7-7735HS (3.20GHz up to 4.75GHz, 16MB Cache)",,,,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,,4Cell 70Wh,Windows 11 Home,"Wi-Fi® 6, 802.11ax 2x2",Bluetooth 5.3,,"Microsoft Pluton TPM 2.0 Enabled
Camera IR cho Windows Hello (nhận dạng khuôn mặt)",1 x microSD card reader,,,Xám,Vỏ kim loại,"1 x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On
2 x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with USB PD 3.0 and DisplayPort™ 1.4
1 x HDMI® 2.1, up to 4K/60Hz
1 x Headphone / microphone combo jack (3.5mm)",,"15.1inch WQXGA (2560x1600) OLED, 500nits, Glossy, 100% DCI-P3, DisplayHDR™ True Black 600, 165Hz",,,,,,,Laptop Lenovo IdeaPad Slim 5 OLED 15ARP10 83J3002SVN Xám,21990000.0,,IdeaPad Slim 5 OLED 15ARP10 83J3002SVN,,,"FHD 1080p + IR with Privacy Shutter, ToF Sensor",,,,,,,,,,,,,,
Lenovo,,,,"Intel Core Ultra 7 155U, P-core 1.7GHz up to 4.8GHz, E-core 1.2GHz up to 3.8GHz, 12MB",32GB Soldered LPDDR5x-6400MHz,1TB SSD M.2 2280 PCIe® 4.0x4 Performance NVMe® Opal 2.0,,,Integrated Intel Graphics,,NoOS,,Bluetooth 5.3,,Finger Print,,,,Đen,"Carbon Fiber Hybrid (Top), Aluminium (Bottom)","1 x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On
2 x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps), with USB PD 3.0 and DisplayPort™ 2.1
1 x HDMI® 2.1, up to 4K/60Hz
1 x Headphone / microphone combo jack (3.5mm)",,"14 inch WUXGA (1920x1200) IPS 400nits Anti-glare, 45% NTSC, DBEF5",,,Không DVD,,,,Laptop Lenovo ThinkPad T14S GEN 5 21LS0061VA Đen,35990000.0,,Laptop Lenovo ThinkPad T14S GEN 5 21LS0061VA Đen,,,5.0MP + IR Discrete with Privacy Shutter,,,,,,,,,,,,,,
Asus,,,,"Intel® Core™ i7-13650HX (2.60GHz up to 4.90GHz, 24MB Cache)",,512GB PCIe® 4.0 NVMe™ M.2 SSD,,,,"4Cell, 90WHrs, 4S1P",Win 11 Home,,Bluetooth 5.2,,,,,,Xám,,Wi-Fi 6E(802.11ax) (Triple band) 2*2,,"16inch WUXGA (1920 x 1200) 16:10, 165Hz, 7ms, IPS-level, 250nits, Anti-glare display, 100% DCI-P3, G-Sync, Dolby Vision HDR",,,,,,,Laptop ASUS ROG Strix G16 G614JU-N3206W Xám,35091000.0,,G614JU-N3206W,,,720P HD camera,,,,,,,,,,,,,,
Asus,,,,"Intel® Core™ i5-13450HX (2.40GHz up to 4.60GHz, 20MB Cache)",,,,"512GB PCIe® 4.0 NVMe™ M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, nâng cấp tối đa 2TB)",,"4Cell, 90WHrs, 4S1P",,,Bluetooth 5.2,,,,,,,,"1 x RJ45 LAN port
1 x Thunderbolt™ 4 support DisplayPort™
1 x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC
2 x USB 3.2 Gen 2 Type-A
1 x HDMI 2.1 FRL
1 x 3.5mm Combo Audio Jack",,"16inch WUXGA (1920 x 1200) 16:10, 165Hz, 7ms, IPS-level, 250nits, Anti-glare display, 100% DCI-P3, G-Sync, Dolby Vision HDR",,,,,,,Laptop ASUS ROG Strix G16 G614JU-N3480W Xám,34191000.0,,G614JU-N3480W,,,720P HD camera,,,,,,,,,,,,,,
