Tên sản phẩm,Giá bán,Bộ vi xử lý - Công nghệ CPU,Bộ vi xử lý - Số hiệu CPU,Bộ vi xử lý - Số nhân,Bộ vi xử lý - Số luồng,Bộ vi xử lý - Xung nhịp cơ bản,Bộ vi xử lý - Xung nhịp tối đa,Bộ vi xử lý - Bộ nhớ đệm,Đồ họa và Âm thanh - Card on-board,Đồ họa và Âm thanh - Card đồ hoạ rời,"Bộ nhớ RAM, Ổ cứng - RAM","Bộ nhớ RAM, Ổ cứng - Loại RAM","Bộ nhớ RAM, Ổ cứng - Tốc độ Bus","Bộ nhớ RAM, Ổ cứng - Số khe RAM trống","Bộ nhớ RAM, Ổ cứng - Khả năng nâng cấp RAM","Bộ nhớ RAM, Ổ cứng - Ổ cứng mặc định","Bộ nhớ RAM, Ổ cứng - Khả năng nâng cấp ổ cứng",Màn hình - Số lượng màn hình,Màn hình - Kích thước màn hình,Màn hình - Độ phân giải,Màn hình - Loại tấm nền,Màn hình - Công nghệ màn hình,Màn hình - Hỗ trợ cảm ứng,Màn hình - Tần số quét,Bàn phím & Touchpad - Bàn phím,Bàn phím & Touchpad - Đèn nền bàn phím,Bàn phím & Touchpad - Chuột / Touchpad,Cổng kết nối & tính năng mở rộng - Các cổng giao tiếp,Cổng kết nối & tính năng mở rộng - Kết nối không dây,Phần mềm - Hệ điều hành,Kích thước & trọng lượng - Kích thước,Kích thước & trọng lượng - Trọng lượng,Pin và Sạc - Dung lượng pin,Pin và Sạc - Bộ sạc theo máy,Thông tin khác - Thời điểm ra mắt,Thông tin khác - Chất liệu,Camera - Camera,Đồ họa và Âm thanh - Công nghệ âm thanh,Phần mềm - Phần mềm sẵn có,Thông số kỹ thuật - Keycap (bàn phím),Kết nối & Tương thích - Cổng giao tiếp,Màn hình - Chuẩn màn hình,Thông số kỹ thuật - Loại Switch,Thông số kỹ thuật - Chất liệu,Tiện ích - Tiện ích,Thông số kỹ thuật - Đèn LED
Laptop Lenovo V14 G3 IAP 82TSA071VN (i3-1215U/4GB/256GB/14'' FHD) - Chính hãng,"7,490,000 ₫",Intel Core i3,i3 - 1215U,6,8,P-core 1.2GHz / E-core 0.9GHz,P-core 4.4GHz / E-core 3.3GHz,10MB,Intel UHD Graphics,GPU tích hợp,4GB,DDR4,3200MHz,1 khe,12GB,256GB SSD,SSD tối đa 512GB,1,14 inch,1920x1080,IPS,"IPS 300nits Anti-glare, 45% NTSC",Không,60Hz,Bàn phím tiêu chuẩn,Không,Multi-touch touchpad,"1x Ethernet (RJ-45)
1x HDMI 1.4b
1x Jack âm thanh (3.5mm)
1x Cổng nguồn
1x USB 2.0
1x USB 3.2 Gen 1
1x USB-C 3.2 Gen 1 (Hỗ trợ truyền dữ liệu, Power Delivery 3.0 & DisplayPort™ 1.2)","Wi-Fi
Bluetooth 5.1",Không có,324 x 215 x 19.9 mm,1.43kg,38Wh,"Bộ sạc 65W chân tròn (3-pin) AC, 100-240V, 50-60Hz",,PC-ABS,HD 720p with Privacy Shutter,,,,DDR4,,,,,
"Laptop ASUS Vivobook 15X OLED M3504YA-L1332W (Ryzen 7 7730U/16GB/512GB/15.6"" FHD/Windows 11) - Chính hãng","15,790,000 ₫",AMD Ryzen 7,R7 - 7730U,8,16,2.0 GHz,4.5 GHz,16MB,Card đồ họa AMD Radeon,GPU tích hợp,16GB,DDR4,3200MHz,Không,16GB,512GB SSD,Nâng cấp khay mặc định lên dung lượng cao hơn,1,15.6 inch,1920x1080,OLED,"Tỷ lệ khung hình 16:9
Thời gian đáp ứng 0,2 ms
Độ sáng tối đa 600 nit HDR
Dải màu DCI-P3 100%, 1,000,000:1
Màn hình HDR True Black 600 đạt CHỨNG NHẬN VESA
1,07 tỉ màu sắc
Đạt chuẩn PANTONE Validated
Màn hình gương,
Giảm 70% ánh sáng xanh có hại
Được chứng nhận bởi TÜV Rheinland
Tỷ lệ màn hình trên thân máy 84%",None,60Hz,Backlit Chiclet Keyboard,Có đèn nền,Multi-touch touchpad,"1x USB 2.0 Loại A
1x USB 3.2 Thế hệ 1 Loại C hỗ trợ power delivery
2x USB 3.2 Thế hệ 1 Loại A
1x HDMI 1.4
1x Giắc Âm thanh Kết hợp 3,5 mm
1x Nguồn vào DC","Wi-Fi 5
Bluetooth 4.1",Windows 11 Home,35.97 x 23.25 x 1.79 ~ 1.79 cm,1.60kg,"50WHrs, 3S1P, Li-ion 3 pin","ø4.5, Bộ đổi nguồn AC 65W, Đầu ra: 19V DC, 3,42A, 65W, Đầu vào: 100~240V AC 50/60Hz phổ thông Bộ nguồn 65W AC (đi kèm với bộ vi xử lý ADL P series)",2023,Mặt lưng kim loại,720p HD,"SonicMaster
Loa tích hợp
Micrô array tích hợp",,,DDR4,,,,,
Laptop Acer Swift X SFX16-51G-516Q (I5-11320H/16GB/512GB/RTX3050/16.1 FHD/WIN11/XÁM) (NX.AYKSV.002) - Chính hãng,"16,990,000 ₫",Intel Core i5,i5 - 11320H,4,8,3.20 GHz,Turbo Boost 4.5 GHz,8 MB,,RTX 3050,16GB,LPDDR4X,4266 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB),1,16.1 inch,1920x1080,LED,"TFT
LED Backlit
Công nghệ IPS
Acer ComfyView",None,60Hz,Full-size có phím số,Có đèn nền,Multi-touch touchpad,"Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
2 x USB 3.2
HDMI","Wi-Fi 6
Bluetooth v5.1",Windows 11 Home,Dài 367.8 mm - Rộng 236.1 mm - Dày 18.9 mm - Nặng 1.9 kg,1.9 kg,59Whr,,2021,Vỏ kim loại,HD webcam,"Acer TrueHarmony
DTS Audio",,4GB,LPDDR4X (Onboard),,,,,
Laptop Asus TUF Gaming F15 FX507VU-LP197W (i7 13620H/32GB/512GB/15.6'' 144Hz/Nvidia RTX 4050 6GB/Win 11) - Chính hãng,"29,490,000 ₫",Intel Core i7,i7 - 13620H,10,16,2.4 GHz,4.9GHz,24 MB,,RTX 4050,32GB,DDR4,4800 MHz,None,32 GB,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,15 inch,1920x1080,IPS,"16:9, Value IPS-level, 250 nits, SRGB 100%,NTSC 72%, anti-glare display",None,144Hz,"Bàn phím tiêu chuẩn, Backlit Chiclet Keyboard",Backlit 1-Zone RGB Keyboard,Multi-touch touchpad,"1x RJ45 LAN
1x Thunderbolt 4 (DisplayPort)
1x USB 3.2 Gen 2 Type-C (DisplayPort / Sạc / G-SYNC)
2x USB 3.2 Gen 1 Type-A
1x HDMI 2.1 FRL
1x 3.5mm Combo Audio Jac","Bluetooth v5.2
Wi-Fi 6",Windows 11 Home,35.4 x 25.1 x 2.24 ~ 2.49 cm,2.2 kg,"4-cell, 90WHrs",,,Vỏ nhựa - nắp lưng bằng kim loại,720p HD camera,"Công nghệ khử tiếng ồn AI
Dolby Atmos
Chứng nhận Hi-Res (dành cho tai nghe)
Hỗ trợ Microsoft Cortana trường gần/trường xa",,,,,,,,
Laptop Dell Inspiron 15 3520 (71043874) (i5-1235U/8GB/512GB/15.6 FHD/Win 11+Office/Đen) - Chính hãng,"14,990,000 ₫",Intel Core i5,1235U,10,12,,4.4 GHz,,,Intel UHD Graphics,8GB,DDR4,2666 MHz,,,512GB SSD,,1,15.6 inch,1920×1080,,WVA,,120Hz,English International Non-Backlit Keyboard,Không,Cảm ứng đa điểm,"2 x USB 3.2 Gen 1 port
1 x USB 2.0 port
1 x HDMI 1.4
1 x SD-card slot
1 x headset port",Bluetooth v5.2,Windows 11,358.5 x 235.56 x 16.96 mm,1.9 kg,3 cell / 41 Whr,,,Nhựa,720p at 30 fps HD camera,Stereo speakers,Office Home & Student 2021,,,,,,,
MacBook Air M4 13.6 inch 10CPU 10GPU 24GB/512GB - Chính hãng Apple Việt Nam,"36,490,000 ₫",Apple M4,Apple - M4,,,,,,,,24GB,,,,,512GB SSD,,1,13.6 inch,2560 x 1664,LED,"True Tone, Wide Color (P3), 500 nits độ sáng",Không,60Hz,Magic Keyboard,Có,Force Touch trackpad,"2 x cổng Thunderbolt / USB 4
1 x cổng MagSafe 3
1 x jack tai nghe 3.5mm","Wi-Fi 6E, Bluetooth 5.3",macOS,304.1 x 21.5 x 11.3 mm,1.24 kg,52.6Whr,30W USB-C Power Adapter,,Nhôm tái chế 100%,Camera FaceTime HD 12MP với Center Stage,"Hệ thống 4 loa hỗ trợ Spatial Audio, Dolby Atmos.",,,,Liquid Retina,,,,
"Máy tính xách tay Asus Vivobook A1405VA-KM257W (i5-13500H/16GB/512GB/Iris Xe/14"" OLED 2.8K/Win11/Black) - Chính hãng","15,790,000 ₫",Intel Core i5,i5 - 13500H,12,16,2.6GHz,4.7 GHz,18 MB,Card tích hợp - Intel Iris Xe Graphics,GPU tích hợp,16GB,DDR4,3200 MHz,None,16GB,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 2 TB)",1,14 inch,2880x1800,OLED,"OLED 16:10 aspect ratio, 0.2ms response time, , 100% DCI-P3 color gamut, 600nits HDR peak brightness, VESA CERTIFIED Display HDR True Black 600, Glossy display",None,90Hz,Backlit Chiclet Keyboard,Không có đèn nền,Multi-touch touchpad,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack","Wi-Fi 6E
Bluetooth 5",Windows 11 Home,31.71 x 22.20 x 1.99 ~ 1.99 cm,1.6kg,"50WHrs, 3S1P, 3-cell Li-ion",,2023,Vỏ nhựa,Full HD Webcam (1080p Webcam),"SonicMaster
Loa tích hợp
Micrô mảng tích hợp",,,,,,,,
"Laptop ASUS Vivobook 16 X1605VA-MB105W (i5-1335U/8GB/512GB/16"" WUXGA/Windows 11) - Chính hãng","13,990,000 ₫",Intel Core i5,i5 - 1335U,10,12,1.3 GHz,4.6 GHz,12MB,Intel UHD Graphics,GPU tích hợp,8GB,DDR4,3200 MHz,1 khe,16GB,512GB SSD,Nâng cấp bộ nhớ mặc định lên dung lượng cao hơn.,1,16 inch,1920x1200,IPS,45% NTSC,Không,60Hz,Backlit Chiclet Keyboard,Không có đèn nền,Multi-touch touchpad,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C hỗ trợ sạc PD
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in","Wi-Fi 6E
Bluetooth v5.3",Windows 11 Home,35.87 x 24.95 x 1.99 ~ 1.99 cm,1.88kg,42WHrs,,2023,Nhựa,HD webcam,"SonicMaster
Built-in speaker
Built-in array microphone",,,DDR4,,,,,
"Laptop Lenovo ThinkBook 15 Gen 4 - 21DJ00CWVN (i7-1255U/8GB/512GB/15.6"" FHD/Windows 11) - Chính hãng","16,790,000 ₫",Intel Core i7,i7 - 1255U,10,12,"P-core 1.7 GHz, E-core 1.2 GHz","P-core 4.7GHz, E-core 3.5GHz",12MB,Intel Iris Xe Graphics,GPU tích hợp,8GB,DDR4,3200 MHz,1 khe,40GB (đã bao gồm 8GB RAM mặc định),512GB SSD,"2 x M.2 SSD:
• SSD M.2 2242 lên đến 1TB
• SSD M.2 2280 lên đến 1TB",,15.6 inch,1920x1080,IPS,"Độ sáng tối đa 300nits
Màn hình chống chói
45% NTSC",Không,60Hz,Bàn phím tiêu chuẩn,LED Trắng,Multi-touch touchpad,"1x Khe đọc thẻ
1x Ethernet (RJ-45)
1x HDMI® 2.1, lên tới 4K/60Hz
1x Jack tai nghe (3.5mm)
1x Thunderbolt™ 4 / USB4® 40Gbps (truyền dữ liệu, sạc PD 3.0 và DisplayPort 1.4)
1x USB 3.2 Gen 1
1x USB 3.2 Gen 1 (Always On)
1x USB-C® 3.2 Gen 2 (truyền dữ liệu, sạc PD 3.0 và DisplayPort 1.4)","Wi-Fi 11ac 2x2
Bluetooth v5.1",Windows 11 Home,357 x 235 x 18.9 mm,1.7kg,45Wh,65W USB-C,,"Nhôm (Mặt lưng), Nhựa PC-ABS",HD 720p with Privacy Shutter,"Loa kép, 2W x2, Dolby Audio",,,DDR4,,,,,
MacBook Air M3 13.6 inch 8CPU 8GPU 16GB/256GB - Chính hãng Apple Việt Nam,"24,690,000 ₫",Apple M3,Apple - M3,"CPU 8 lõi với 4 lõi hiệu năng và 4 lõi tiết kiệm điện
GPU 8 lõi
Công nghệ dò tia tốc độ cao bằng phần cứng
Neural Engine 16 lõi
Băng thông bộ nhớ 100GB/s",,,,,,GPU tích hợp,16GB,LPDDR4X,,,Không,256GB SSD,,,13.6 inch,2560x1664,Liquid Retina,"Hỗ trợ một tỷ màu
Độ sáng 500 nit
Dải màu rộng (P3)
Công nghệ True Tone",Không,60Hz,Magic Keyboard,LED trắng,Force Touch trackpad,"Cổng sạc MagSafe 3
Jack cắm tai nghe 3,5 mm
Hai cổng Thunderbolt / USB 4 hỗ trợ: Sạc | DisplayPort | Thunderbolt 3 (lên đến 40Gb/s) | USB 4 (lên đến 40Gb/s)","Wi-Fi 6E
Bluetooth v5.3",macOS,"Cao: 1,13 cm
Rộng: 30,41 cm
Dài: 21,5 cm",1.24kg,52.6 Wh,Bộ Tiếp Hợp Nguồn Cổng USB-C Kép 35W,2024,Kim loại,"Camera FaceTime HD 1080p
Bộ xử lý tín hiệu hình ảnh tiên tiến với video điện toán","Hệ thống âm thanh bốn loa
Hỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợp
Âm Thanh Không Gian với tính năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods (thế hệ thứ 3), AirPods Pro và AirPods Max
Ba micrô phối hợp với tính năng điều hướng chùm sóng
Chế độ micrô Tách Giọng Nói và Âm Phổ Rộng (M3)
Tăng cường độ trong cho giọng nói trong các cuộc gọi thoại và video (M3)
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao",,,,,,,,
"Laptop Lenovo Ideapad 3 14IAU7 (82RJ000HVN) - (i3-1215U/8GB/512GB/14"" FHD/Windows 11) - Chính hãng","8,390,000 ₫",Intel Core i3,i3 - 1215U,6,8,1.2GHz,3.3GHz,10MB,Intel UHD Graphics,GPU tích hợp,8GB,DDR4,3200MHz,1 khe,16GB,512GB SSD,SSD M.2 2280 tối đa 1TB,1,14 inch,1920x1080,TN,250nits Anti-glare,None,60Hz,Bàn phím tiêu chuẩn,Không,Multi-touch touchpad,"1x USB 2.0
1x USB 3.2 Gen 1
1x USB-C 3.2 Gen 1 (hỗ trợ truyền dữ liệu, Power Delivery 3.0 & DisplayPort 1.2)
1x HDMI 1.4b
1x Card reader
1x Jack âm thanh 3.5mm
1x Cổng nguồn","11ac 2x2
Bluetooth v5.0",Windows 11 Home,324.2 x 215.7 x 19.9 mm,1.43kg,45Wh,,,Nhựa,HD 720p,2 loa,,,DDR4,,,,,
"Laptop Lenovo IdeaPad Slim 3 15IAH8-83ER000BVN (i5-12450H/8GB/512GB/15.6"" FHD/Windows 11) - Chính hãng","11,490,000 ₫",Intel Core i5,i5 - 12450H,8,12,"P-core 2.0GHz / E-core
1.5GHz","P-core 4.4GHz / E-core
3.3GHz",12MB,Intel UHD Graphics,GPU tích hợp,8GB,LPDDR5,4800 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,SSD tối đa 1TB,1,15.6 inch,1920x1080,IPS,IPS 300nits Anti-glare,None,60Hz,Bàn phím tiêu chuẩn,Đang cập nhật,Multi-touch touchpad,"1x Card reader
1x HDMI 1.4
1x Jack âm thanh (3.5mm)
1x Cổng nguồn
1x USB-C 3.2 Gen 1 (hỗ trợ truyền dữ liệu, Power Delivery & DisplayPort 1.2)
2x USB 3.2 Gen 1","Wi-Fi 6
Bluetooth v5.1",Windows 11 Home,359.3 x 235 x 17.9 mm,1.62kg,47Wh,"Bộ sạc 65W chân tròn (3-pin) AC, 100-240V, 50-60Hz",,PC-ABS,HD 720p with Privacy Shutter,,,,LPDDR5,,,,,
"Laptop HP Pavilion 15-eg3094TU (8C5L5PA) - (i5-1335U/8GB/512GB/15.6"" FHD/Windows 11) - Chính hãng","17,490,000 ₫",Intel Core i5,i5 - 1335U,10,12,1.3 GHz,4.6 GHz,12MB,Intel Iris Xe Graphics,GPU tích hợp,8GB,DDR4,3200 MHz,Không,16GB,512GB SSD,Nâng cấp SSD mặc định lên dung lượng cao hơn.,1,15.6 inch,1920x1080,IPS,"Micro-edge, anti-glare, 250 nits, 45% NTSC",None,60Hz,Bàn phím tiêu chuẩn,Không,Multi-touch touchpad,"1 USB-C 10Gbps (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge);
2 USB Type-A 5Gbps;
1 HDMI 2.1;
1 AC smart pin;
1 headphone/microphone combo","Wi-Fi 6
Bluetooth v5.3",Windows 11 Home,36.02 x 23.4 x 1.79 cm,1.74kg,"3-cell, 41 Wh",,2022,Vỏ kim loại - Nắp lưng bằng nhựa,720p HD camera,Audio by B&O; Loa kép; HP Audio Boost,,,DDR4,,,,,
"Laptop ASUS VivoBook Go 14 E1404FA-NK177W (R5-7520U/16GB/512GB/14"" FHD/Windows 11) - Chính hãng","11,290,000 ₫",AMD Ryzen 5,R5 - 7520U,4,8,2.8 GHz,4.3 GHz,4MB,AMD Radeon Graphics,GPU tích hợp,16GB,DDR4,5500MHz,Không,Không hỗ trợ nâng cấp,512GB SSD,Nâng cấp bộ nhớ mặc định lên dung lượng cao hơn.,1,14 inch,1920x1080,TN,"Tỉ lệ 16:9
Độ sáng tối đa 250nits
Độ phủ màu 45% NTSC
Màn hình chống chói
Công nghệ LCD",Không,60Hz,Chiclet Keyboard,Đang cập nhật,Multi-touch touchpad,"1 x USB 2.0 Type-A
1 x USB 3.2 Gen 1 Type-A
1 x USB 3.2 Gen 1 Type-C
1 x HDMI 1.4
1 x Jack cắm tai nghe 3.5 mm
1 x Đầu vào DC","Wi-Fi 6E
Bluetooth 5.3",Windows 11 Home,32.45 x 21.39 x 1.79 ~ 1.79 cm,1.38kg,42WHrs,,2023,Nhựa,HD webcam,"SonicMaster
Loa tích hợp
Micrô mảng tích hợp",,,LPDDR5,,,,,
Laptop Dell Inspiron 16 5625 99VP91 R7-5825U/8GD4/512SSD/16.0FHD+/W11SL+OFFICE ST/BẠC - Chính hãng,"15,990,000 ₫",AMD Ryzen 7,R7 - 5825U,8,16,2.0GHz,4.5GHz,"L2 Cache: 4MB
L3 Cache: 16MB",AMD Radeon Graphics,GPU tích hợp,8GB,DDR4,3200MHz,1 khe,32GB,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,16 inch,1920x1200,WVA,"Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView",None,60Hz,Bàn phím tiêu chuẩn,"1 màu , màu trắng",Multi-touch touchpad,2 x USB 3.1 Gen 1 Type-A ; 1 x USB 3.1 Gen 1 Type-C (Hỗ trợ DisplayPort và Power Delivery) ; 1 x HDMI ; 1 x Combo mic tai nghe 3.5mm,WiFi 802.11a/b/g,Windows 11 Home,1.79 x 35.68 x 25.19 cm (H x W x D),1.97kg,54WHrs,,,Kim loại,"1080p at 30 fps FHD camera
Dual-array microphones",Realtek High Definition Audio,Office Home & Student 2021,,DDR4,,,,,
"Laptop Lenovo LOQ 15IRH8 (82XV00QXVN) - (i7-13620H/16GB/512GB/RTX 4050/15.6"" FHD144Hz/Windows 11) - Chính hãng","26,990,000 ₫",Intel Core i7,i7 - 13620H,10,16,2.4 Ghz,4.9Ghz,24MB,Đồ họa Intel® Iris® Xe,RTX 4050,16GB,DDR5,5200MHz,Không,32GB,512GB SSD,"(2 Slots: M2 2242 PCIe 4.0 x4 Slot, M.2 2280 PCIe 4.0 x4 Slot)",1,15.6 inch,1920x1080,IPS,"350nits Anti-glare, 45% NTSC, 144Hz, G-SYNC®",None,144Hz,Bàn phím tiêu chuẩn,4-Zone RGB Backlit,Multi-touch touchpad,"1x USB 3.2 Gen 1
2x USB 3.2 Gen 2
1x USB-C® 3.2 Gen 2 (support data transfer, Power Delivery 140W and DisplayPort™ 1.4)
1x HDMI® 2.1, up to 8K/60Hz
1x Ethernet (RJ-45)
1x Headphone / microphone combo jack (3.5mm)
1x Power connector","Wi-Fi 6
Bluetooth v5.1",Windows 11 Home,359.6 x 264.8 x 22.1-25.2 mm,2.4kg,Integrated 60Wh,,,"Hợp kim nhựa PC + ABS dẻo dai, chống va đập",FHD 1080p with E-shutter,"High Definition (HD) Audio, Realtek® ALC3287 codec",,6GB GDDR6,DDR5,,,,,
"Laptop HP Pavilion 15-eg2085TU- 7C0Q7PA, i5-1240P/8GB/256GB/15.6FHD/W11SL/Bạc - Chính hãng","13,990,000 ₫",Intel Core i5,i5 - 1240P,12,16,1.70 GHz,Turbo Boost 4.4 GHz,12 MB,Intel Iris Xe Graphics,GPU tích hợp,8GB,DDR4,3200 MHz,None,32GB,256GB SSD,"M.2 NVMe™ PCIe® SSD (không có khe bổ sung, nâng cấp khe mặc định lên bộ nhớ cao hơn)",1,15.6 inch,1920x1080,IPS,Tấm nền IPS,None,60Hz,Bàn phím tiêu chuẩn,Không có đèn nền,Multi-touch touchpad,"USB Type-C
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI","Bluetooth v5.2
Wi-Fi 6",Windows 11 Home,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.72 kg,1.7kg,"3 cell, 41.04 Wh",,2022,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,HD webcam,"Audio by B&O, Realtek High Definition Audio",,,DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB),,,,,
"Máy tính xách tay Asus Vivobook D415DA-EK852T (R3-3250U/4GB/512GB/Radeon/14"" FHD/Win10/Silver) - Chính hãng","7,490,000 ₫",AMD Ryzen 3,R3 - 3250U,2,4,2.6 GHz,3.5 GHz,4MB,AMD Radeon™ Graphics,GPU tích hợp,4GB,DDR4,3200 MHz,1 khe,12GB,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,14 inch,1920x1080,IPS,"LED Backlit, 220nits, 16:9, Anti-glare display, NTSC: 45%",None,60Hz,Chiclet Keyboard,Đang cập nhật,Multi-touch touchpad,"1 x USB Type-C
3 x USB 3.0 & USB 2.0
1 x HDMI
1 x Camera VGA
1 x FingerPrint
1 x Jack Audio 3.5mm
1 x SonicMaster Sound
1 x Jack Adapter Power","Wi-Fi 5
Bluetooth 4.2",Windows 10 bản quyền,357 x 230 x 19.9 mm (Dài x Cao x Dày),1.55Kg,37WHrs Li-ion Battery,,2022,Vỏ nhựa,VGA camera,SonicMaster,,,,,,,,
"Laptop ASUS TUF Gaming F15 FX506HF-HN078W (i5-11260H/16GB/512GB/RTX 2050/15.6"" FHD IPS 144Hz) - Chính hãng","15,990,000 ₫",Intel Core i5,i5 - 11260H,6,12,2.6Ghz,Turbo Boost 4.4 GHz,12 MB,Card tích hợp - Intel UHD Graphics,RTX 2050,16GB,DDR4,3200 MHz,None,32GB,512GB SSD,Nâng cấp SSD mặc định lên dung lượng cao hơn,1,15.6 inch,1920x1080,IPS,"Tấm nền IPS
Chống chói Anti Glare
250 nits",None,144Hz,"Bàn phím tiêu chuẩn, Backlit Chiclet Keyboard",Bàn phím LED RGB 1 vùng,Multi-touch touchpad,"1x RJ45 LAN
1x Thunderbolt 4 hỗ trợ DisplayPort
3x USB 3.2 Gen 1 Type-A","Wi-Fi 6
Bluetooth v5.2",Windows 11 Home,35.9 x 25.6 x 2.28 ~ 2.45 cm,2.30kg,48WHrs,,2022,"Vỏ nhựa, nắp lưng bằng kim loại",720p HD camera,"Công nghệ khử tiếng ồn AI
Phần mềm DTS",,4GB GDDR6,DDR4,,,,,
Laptop Dell XPS 13 9340 (71034922) (Ultra 5 125H/16GB/1TB/Intel Arc/13.4 inch FHD+/Win 11+Office/Bạc) - Chính hãng,"49,990,000 ₫",Intel Core Ultra 5,U5 - 125H,14,18,,4.50GHz,18 MB,Intel® Arc Graphics,GPU tích hợp,16GB,LPDDR5X,7467MHz,Không,Không hỗ trợ nâng cấp,1TB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 2 TB)",1,13.4 inch,1920 x 1200,,Anti-Glare 500nits EyeSafe,Cảm ứng đa điểm,Đang cập nhật,Platinum Backlit English Keyboard with Fingerprint Reader,,Multi-touch touchpad,2 Thunderbolt™ 4 (40 Gbps) ports with Power Delivery (Type-C®),"Wi-Fi 7
Bluetooth",Windows 11Home,15.3 X 295.3 X 199.1 mm,1.19 kg,3Cell 55WHrs,,,,"1080p at 30 fps FHD RGB camera, Dual-array microphones","Quad-speaker design (tweeter + woofer)
Realtek ALC1318",,,,FHD+,,,,
"Laptop HP Pavilion 15 eg2087TU-7C0Q9PA (i3-1215U/8GB/256GB/15.6"" FHD/Windows 11) - Chính hãng","12,890,000 ₫",Intel Core i3,i3 - 1215U,6,8,1.2 Ghz,4.40 GHz,10MB,Card tích hợp - Intel UHD Graphics,GPU tích hợp,8GB,DDR4,3200 MHz,1 khe,16GB,256GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,15 inch,1920x1080,IPS,"Micro-edge, BrightView, 250nits, 45%NTSC",None,60Hz,Bàn phím tiêu chuẩn,Không có đèn nền,Multi-touch touchpad,"1 x HDMI 2.0
1 x headphone/microphone combo
1 x Type-C tốc độ truyền dữ liệu 10Gbps
2 x Type-A tốc độ truyền dữ liệu 5Gbps","Wi-Fi
Bluetooth v5.0",Windows 11 Home,36.02 x 23.4 x 1.79 cm,1.7kg,3Cell 41WHrs,,2022,Vỏ kim loại,HP True Vision 720p HD,2 loa,,,,,,,,
"Laptop HP 15s-fq5159TU (7C0S0PA) - (i7-1255U/8GB/256GB/15.6"" FHD/Windows 11) - Chính hãng","14,990,000 ₫",Intel Core i7,i7 - 1255U,10,12,1.7 GHz,4.7 GHz,12MB,Intel Iris Xe Graphics,GPU tích hợp,8GB,DDR4,3200MHz,Không,32GB,256GB SSD,Nâng cấp SSD mặc định lên dung lượng cao hơn.,1,15.6 inch,1920x1080,IPS,"Micro-edge, anti-glare, 250 nits, 45% NTSC",None,60Hz,Bàn phím tiêu chuẩn,Không có đèn nền,Multi-touch touchpad,"1 x USB Type C
2 x USB 3.2
1 x SD card slot
Audio combo","WiFi
Bluetooth v5.0",Windows 11 Home,35.85 x 24.2 x 1.79 cm,1.7kg,"3 cell 41 Wh , Pin liền",,2022,Vỏ nhựa,HP True Vision 720p HD,2 loa,,,DDR4,,,,,
Laptop MSI Modern 15 H (C13M-216VN) ( i7-13700H/16GB/1TB/15.6 FHD IPS/Win11/Đen) - Chính hãng,"16,390,000 ₫",Intel Core i7,i7 - 13700H,14,20,,5.0 GHz,24MB,Card đồ hoạ Intel Iris Xe,GPU tích hợp,16GB,DDR4,3200 MHz,Không,"(2x SO-DIMM socket, up to 64GB SDRAM)",1TB SSD,,1,15.6 inch,1920 x 1080,IPS,"65% sRGB, 45% NTSC, viền mỏng, chống chói, góc mở 180 độ.",None,60Hz,Bàn phím Chiclet,LED Trắng,Multi-touch touchpad,"1x USB-C 3.2 Gen 2 (DisplayPort / Power Delivery)
3x USB-A 3.2 Gen 2
1x HDMI 2.1
1x Audio/Mic 3.5mm
1x microSD Card Reader","Wi-Fi 6E
Bluetooth v5.3",Windows 11 Home Single Language,359 x 241 x 19.9 mm,1.8kg,39.3 Whr,90W,,,HD camera,"2x 2W
Nahimic Audio
Hi-Res Audio",,,,FHD,,,,
