Tên sản phẩm,Giá bán,Thương hiệu,Bảo hành,Mô tả bảo hành,CPU,NPU,Chip đồ họa,Màn hình,Webcam,Ram,Lưu trữ,Cổng kết nối,Kết nối không dây,Bàn phím,Hệ điều hành,Kích thước,Pin,Khối lượng,Bảo mật,Đèn LED trên máy,Trong hộp có gì,Series model,Tên,Part-number,Màu sắc,Nhu cầu,Âm thanh,Chất liệu,Dung lượng RAM,Dung lượng SSD,"Kích thước, khối lượng",Công suất pin,Cổng HDMI,Tính năng đặc biệt
Laptop Asus ROG Zephyrus G16 GA605WI-QR090WS,77.190.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ AI 9 HX 370 ( 5.1 GHz / 24MB / 12 nhân, 24 luồng ), AMD AI",AMD XDNA™ lên đến 50TOPs,"GeForce RTX™ 4070 8GB GDDR6 AMD Radeon 890M ( 1655MHz , 105W , 321 AI TOPs )","16"" ( 2560 x 1600 ) WQXGA 16:10 , OLED , 240Hz , không cảm ứng , 100% sRGB , Màn hình gương , G-Sync",FHD webcam,2 x 16GB Onbard LPDDR5 ( 1 Khe cắm,1TB SSD M.2 NVMe ( 2 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI","WiFi 7 BE , Bluetooth 5.4","Bàn phím Chiclet với phím Copilot , không phím số , RGB",Windows 11 Home SL + Office Home & Student 2021,35.4 x 24.6 x 1.49 ~ 1.64 cm,"4 cell 90 Wh , Pin liền",1.85 kg,"Khuôn mặt - Bảo mật mật khẩu BIOS, TPM, Pluton, Secured-core PC (Level 3)",không đèn,,ASUS ROG Gaming,ROG Zephyrus G16 GA605WI-QR090WS,90NR0J91-M008C0,Xám,Gaming,Dolby Atmos,Kim loại,,,,,,
Laptop Asus Vivobook 15X Oled M3504YA-L1268W,,Asus,24 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 5 7530U ( 2.0 GHz - 4.5 GHz / 16MB / 6 nhân, 12 luồng ), AMD",,Onboard graphics AMD Radeon™ Graphics,"15.6"" ( 1920 x 1080 ) Full HD 16:9 , OLED , 60Hz , không cảm ứng , 600 nits , 100% DCI-P3",HD webcam,16GB (8GB + 8GB Onboard) DDR4,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / Power Delivery
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI","WiFi 802.11ac , Bluetooth 4.1","Bàn phím Chiclet , có phím số , không đèn",Windows 11 Home,35.97 x 23.25 x 1.79 cm,"3 cell 50 Wh , Pin liền",1.7 kg,,không đèn,,ASUS Vivobook,Vivobook 15X Oled M3504YA-L1268W,90NB1181-M00530,Đen,Văn phòng,Dolby Atmos,,,,,,,
Laptop Acer Predator Helios Neo 14 PHN14-51-96HG,58.390.000₫,Acer,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 9-185H ( 3.9 GHz - 5.1 GHz / 24MB / 16 nhân, 22 luồng ), Intel AI",Intel® AI Boost NPU,GeForce RTX™ 4070 8GB GDDR6 Intel® UHD Graphics,"14.5"" ( 3072 x 1920 ) 3K 16:10 , IPS , 165Hz , không cảm ứng , 400 nits , 100% sRGB , Acer ComfyView",HD webcam,32GB Onboard LPDDR5x 6400MHz ( 1 Khe cắm / Không nâng cấp được ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , RGB",Windows 11 Home SL,324.12 x 255.35 x 19.52/20.90 mm,"4 cell 76 Wh , Pin liền",1.9 kg,,không đèn,"Adapter, dây nguồn, HDSD,…",Acer Predator,Predator Helios Neo 14 PHN14-51-96HG,NH.QRNSV.001,Đen,Gaming,DTS X:Ultra Audio,"A,D Nhôm B,C: Nhựa ABS",,,,,,
Laptop Asus TUF Gaming A14 FA401WV-RG062WS,42.390.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ AI 9 HX 370 ( 5.1 GHz / 36MB / 12 nhân, 24 luồng ), AMD AI",AMD XDNA™ lên đến 50TOPs,"GeForce RTX™ 4060 8GB GDDR6 AMD Radeon™ 890M ( 2225Mhz , 100W , up to 233 AI TOPs )","14"" ( 2560 x 1600 ) WQXGA 16:10 , IPS , 165Hz , không cảm ứng , 400 nits , sRGB 100% , Màn hình chống lóa , G-Sync",FHD webcam,2 x 8GB Onbard LPDDR5x 7500MHz ( 1 Khe cắm / Không nâng cấp được ),1TB SSD M.2 NVMe ( 2 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",Windows 11 Home SL + Office Home & Student 2021,31.1 x 22.7 x 1.69 ~ 1.99 cm,"4 cell 73 Wh , Pin liền",1.5 kg,Khuôn mặt - Windows Hello Tính năng bảo vệ mật khẩu admin BIOS và mật khẩu người dùng; Bộ vi xử lý bảo mật Pluton; Công nghệ bảo mật Secured-core PC (mức 3),không đèn,,ASUS TUF Gaming,TUF Gaming A14 FA401WV-RG062WS,90NR0J41-M004D0,Xám,Gaming,Dolby Atmos,Vỏ kim loại,,,,,,
Laptop Acer Gaming Aspire 7 A715-76G-5806,18.690.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-12450H ( 2.0 GHz - 4.4 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",,GeForce RTX™ 3050 4GB GDDR6 Intel® UHD Graphics ( 1740 MHz,"15.6"" ( 1920 x 1080 ) Full HD 16:9 , IPS , 144Hz , không cảm ứng , Acer ComfyView",HD webcam,2 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"3 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , có phím số , LED",Windows 11 Home,362.3 x 237.4 x 19.9 mm,"3 cell 50 Wh , Pin liền",2.1 kg,Vân tay,không đèn,"Adapter, dây nguồn",Acer Aspire,Gaming Aspire 7 A715-76G-5806,NH.QMFSV.002,Đen,Gaming,Acer Purified Voice; Acer TrueHarmony,Nhôm,,,,,,
Laptop Asus Vivobook S 16 OLED S5606MA-MX051W,25.690.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 7-155H ( 3.8 GHz - 4.8 GHz / 24MB / 16 nhân, 22 luồng ), Intel AI",Intel® AI Boost NPU,Onboard graphics Intel® Arc™ Graphics,"16"" ( 3200 x 2000 ) 3.2K 16:10 , OLED , 120Hz , không cảm ứng , 600 nits , 100% DCI-P3 , Màn hình chống lóa",FHD webcam,16GB Onboard LPDDR5x Không nâng cấp được ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , có phím số , RGB",Windows 11 Home,35.36 x 24.69 x 1.39 ~ 1.59 cm,"4 cell 75 Wh , Pin liền",1.5 kg,Khuôn mặt,,,ASUS Vivobook,Vivobook S 16 OLED S5606MA-MX051W,90NB12E1-M002F0,Xanh,Văn phòng,Smart Amp Technology,Vỏ nhôm,,,,,,
Laptop HP Victus 15-fb1022AX - 94F19PA,16.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 5 7535HS ( 3.3 GHz - 4.55 GHz / 16MB / 6 nhân, 12 luồng ), AMD",,GeForce RTX™ 2050 4GB GDDR6 AMD Radeon 660M,"15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 250 nits , 45% NTSC",HD webcam,2 x 8GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số , LED",Windows 11 Home,35.79 x 25.5 x 2.35 cm,"3 cell 52 Wh , Pin liền",2.3 kg,,không đèn,"Adapter, dây nguồn,…",HP Victus,Victus 15-fb1022AX - 94F19PA,94F19PA,Đen ánh bạc,Gaming,HP Audio Boost,,,,,,,
Laptop Msi Stealth 18 Mercedes AMG A1VHG-080VN,97.890.000₫,Msi,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 9-185H ( 3.9 GHz - 5.1 GHz / 24MB / 16 nhân, 22 luồng ), Intel AI",Intel® AI Boost NPU,"GeForce RTX™ 4080 12GB GDDR6 Intel® Arc™ Graphics ( 2100MHz , 150W , 542 AI TOPS )","18"" ( 3840 x 2400 ) WQUXGA 16:10 , IPS , 120Hz , không cảm ứng , 100% DCI-P3",FHD webcam,2 x 32GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 96GB ),2TB SSD M.2 NVMe ( 2 x M.2 NVMe ),"1 x USB Type C / DisplayPort
2 x USB 3.2
1 x Thunderbolt 4
1 x SD card slot
Audio combo
1 x HDMI
LAN 2500 Mbps","WiFi 7 BE , Bluetooth 5.4","Bàn phím gaming RGB Per-Key của SteelSeries với phím Copilot , có phím số , RGB",Windows 11 Home,399.99 x 289.67 x 19.9-23.99 mm,"4 cell 99 Wh , Pin liền",2.9 kg,"Vân tay - Fingerprint Security, Firmware Trusted Platform Module(fTPM) 2.0, Webcam Shutter, Kensington Lock",không đèn,280W Adapter,MSI Stealth,Stealth 18 Mercedes AMG A1VHG-080VN,080VN,Đen,Gaming,,,,,,,,
Laptop Msi Stealth 16 Mercedes-AMG Motorsport A13VG -289VN,76.990.000₫,Msi,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i9-13900H ( 2.6 GHz - 5.4 GHz / 24MB / 14 nhân, 20 luồng ), Non-EVO",,GeForce RTX™ 4070 8GB GDDR6 Intel® Iris® Xe Graphics,"16"" ( 3840 x 2400 ) WQUXGA 16:10 , OLED , 60Hz , không cảm ứng , 100% sRGB",FHD webcam,2 x 16GB DDR5 5200MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),2TB SSD M.2 NVMe ( 2 x M.2 NVMe ),"1 x USB Type C / DisplayPort
1 x USB 3.2
1 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số , RGB",Windows 11 Home,355.8 x 259.7 x 19.95 mm,"4 cell 99 Wh , Pin liền",1.9 kg,Vân tay,không đèn,,MSI Stealth,Stealth 16 Mercedes-AMG Motorsport A13VG -289VN,,Xám,Gaming,"Nahimic, Hi-Res Audio",,,,,,,
Laptop Asus ExpertBook P1 P1403CVA-S61134W,15.990.000₫,Asus,36 tháng,Bảo hành Pin 36 tháng,"Intel® Core™ i5-13420H ( 2.1 GHz - 4.6 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® UHD Graphics,"14"" ( 1920 x 1080 ) Full HD 16:9 , IPS , 60Hz , không cảm ứng , 300 nits , 45% NTSC , Màn hình chống lóa",HD webcam,1 x 16GB DDR5 ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),"512GB SSD M.2 NVMe ( 1 x M.2 2280, 1 x M.2 2230 )","2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.4","Bàn phím Chiclet với phím Copilot , không phím số , không đèn",Windows 11 Home,32.45 x 21.44 x 1.97 cm,"3 cell 63 Wh , Pin liền",1.4 kg,Vân tay,không đèn,,ASUS ExpertBook,ExpertBook P1 P1403CVA-S61134W,90NX0871-M01980,Bạc,Văn phòng,,Vỏ Plastic,,,,,,
Laptop Asus Gaming V16 K3607VJ-RP106W,24.490.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"Intel Core 7 240H ( 2.5 GHz - 5.2 GHz / 24MB / 10 nhân, 16 luồng ), Non-EVO",,GeForce RTX™ 3050 6GB GDDR6 Intel® Graphics,"16"" ( 1920 x 1200 ) WUXGA 16:10 , 144Hz , không cảm ứng , 300 nits , 45% NTSC , Màn hình chống lóa",FHD webcam,1 x 16GB DDR5 ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),512GB SSD M.2 NVMe ( 1 x M.2 2280 ),"1 x USB Type C / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , có phím số , LED",Windows 11 Home,35.70 x 25.07 x 1.80 ~ 2.20 cm,"3 cell 63 Wh , Pin liền",1.9 kg,,không đèn,,Asus V16,Gaming V16 K3607VJ-RP106W,90NB15V1-M00650,Đen,Gaming,SonicMaster,Vỏ Plastic,,,,,,
Laptop Asus ExpertBook P1 P1503CVA-S71559W,15.990.000₫,Asus,36 tháng,Bảo hành Pin 36 tháng,"Intel® Core™ i5-13420H ( 2.1 GHz - 4.6 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® UHD Graphics,"15.6"" ( 1920 x 1080 ) Full HD 16:9 , IPS , 60Hz , không cảm ứng , 300 nits , 45% NTSC , Màn hình chống lóa",HD webcam,1 x 16GB DDR5 ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),"512GB SSD M.2 NVMe ( 1 x M.2 2280, 1 x M.2 2230 )","2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.4","Bàn phím Chiclet với phím Copilot , có phím số , không đèn",Windows 11 Home,35.95 x 23.22 x 1.99 cm,"3 cell 63 Wh , Pin liền",1.7 kg,Vân tay,không đèn,,ASUS ExpertBook,ExpertBook P1 P1503CVA-S71559W,90NX0881-M01R30,Bạc,Văn phòng,,Vỏ Plastic,,,,,,
Laptop Acer Swift Go 14 SFG14-41-R251,16.990.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 5 7430U ( 2.3 GHz - 4.3 GHz / 16MB / 6 nhân, 12 luồng ), AMD",,Onboard graphics AMD Radeon™ Graphics,"14"" ( 1920 x 1080 ) Full HD IPS , 60Hz , 300 nits , 100% sRGB , Acer ComfyView",FHD webcam,16GB Onbard LPDDR4X 4800MHz ( 1 Khe cắm / Hỗ trợ tối đa 16GB ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB Type C / DisplayPort
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , không phím số , LED",Windows 11 Home,321.71 x 211.72 x 15.9mm,"3 cell 50 Wh , Pin liền",1.2 kg,Vân tay,,,Acer Swift,Swift Go 14 SFG14-41-R251,NX.KG3SV.005,Bạc,Văn phòng,Acer Purified Voice; Acer TrueHarmony,Vỏ nhôm,,,,,,
