Product Name,Price,Sản phẩm,Tên Hãng,Model,Bộ vi xử lý,Card đồ họa,Bộ nhớ ram,Ổ cứng,Số cổng lưu trữ tối đa,Kiểu khe M.2 hỗ trợ,Màn hình,Kết nối,Cổng giao tiếp,Webcam,Bảo mật,Hệ điều hành,Pin,Kích thước,Trọng lượng,Màu sắc/ Chất liệu,Bộ VXL,Bộ nhớ,Ổ đĩa quang,Màu sắc/ Chất liệu,Thương hiệu,Sản phẩm,CPU,RAM,VGA,Camera,Wi-Fi,Bluetooth,LOA,Màu sắc,Cổng kết nối,Wifi,Chất liệu,Kích thước,Trọng lượng,Ram,Trọng Lượng,Bộ nhớ RAM,Nhận dạng vân tay,Ổ cứng/ Ổ đĩa quang,Âm thanh,Audio,Màu sắc,Đèn LED trên máy,Hãng sản xuất,Bộ vi xử lý,Bộ nhớ Ram,Ổ đĩa cứng,Đồ họa,WiFi,bluetooth,Pin (Battery),Khối lượng,Kết nối mạng LAN,SSD,Kết nối không dây,Khe đọc thẻ nhớ,Bảo mật vân tay,Card đồ hoạ,Đọc thẻ,Ổ đĩa quang (DVD),Giao tiếp mạng,Giao tiếp mạng - Communications,Cổng giao tiếp - Port,pin,NPU,Bộ xử lý,Cổng I/O,Nguồn,OS,Lưu trữ,Wireless,LAN,Đọc thẻ - Card reader,Cổng xuất hình,Hỗ trợ nâng cấp,Khả năng nâng cấp trong tương lai,Vga,Mô tả khác,Bộ VXL,Card màn hình,Kích thước màn hình,bàn phím,Thiết kế/ Chất liệu vỏ,card đồ họa,Khả năng nâng cấp ram,PIN,Mạng,Loại card đồ họa,Vân tay,Ổ đĩa cứng - SSD,Kết nối USB,Năm sản xuất,Chất liệu sản phẩm,Ổ cứng,Đọc thẻ nhớ,WIFI,Dung lượng RAM,Công nghệ âm thanh,Bộ xử lý - CPU,Bộ nhớ trong - Ram,Đèn bàn phím,wifi,Màn hình - Monitor,Card đồ hoạ - Video,Công nghệ CPU,Finger Print,Bộ nhớ trong,Chip đồ họa,Màn hình hiển thị,Ổ đĩa cứng - HDD,Tính năng đặc biệt,Loại đèn bàn phím,Dung lượng,Ổ đĩa quang (ODD),Kiểu Pin,Hệ điều hành (bản quyền) đi kèm,Kích thước (Dài x Rộng x Cao),Màn hìn,Pin(Battery),Phụ kiện kèm theo,Màu,webcam,Bàn phím,Chuẩn WIFI,Loa,Phụ kiện,Cạc đồ họa,Loại khe M.2,Keyboard + Mouse,Khe cắm mở rộng,Hệ điều hành tương thích,Công suất bộ sạc,Thông số (Lan/Wireless),"Wi-Fi, bluetooth",Màu sắc (Colour),Bàn phím,Hãng sãn xuất,Chuẩn Lan,Bàn Phím,Bộ nguồn,Phần mềm có sẵn,Thời lượng pin,Card mở rộng,Card VGA,"Wi-Fi,",Giao tiếp,Thẻ đọc,Kiểu bàn phím,Lan,Kết nối có dây (LAN),Chuẩn LAN,Card reader,Kết nối không dây,Ổ quang,Bảo mật Vân tay,,Keyboard,Khe mở rộng,Nhận dạng Vân tay,Chuẩn Wifi,Kiểu khe M.2 hỗ tr,bảo mật,Máy tính xách tay,Tính năng khác,Phụ kiện kèm,"Wifi, bluetooth",Bluetooth®,Kiểu khe M.2 hỗ trợ`,Chuẩn Wi-Fi,Other Supports
Laptop ASUS Vivobook S 14 OLED S5406SA-PP060WS Xanh,27.490.000đ,,,S5406SA-PP060WS,,,,512GB M.2 NVMe™ PCIe® 4.0 SSD,,,"14.0inch 3K (2880 x 1800) 16:10, Lumina OLED, 120Hz",,,FHD camera with IR function to support Windows Hello With privacy shutter,,Win 11 Home,"4Cell 75WHrs, 4S1P",,,,,,,,Asus,Máy tính xách tay,"Intel® Core™ Ultra 5 226V (2.10GHz up to 4.50GHz, 8MB Cache)",,Intel® Arc™ Graphics,,Wi-Fi 7(802.11be) (Tri-band)2*2,Bluetooth 5.4,,Xanh,"2 x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps)
2 x Thunderbolt™ 4 with support for display / power delivery (data speed up to 40Gbps)
1 x HDMI 2.1 TMDS
1 x 3.5mm Combo Audio Jack",,,"31.05 x 22.19 x 1.39 ~ 1.59 cm (12.22"" x 8.74"" x 0.55"" ~ 0.63"")",1.30 kg,16GB LPDDR5X 8533MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Dell Gaming G15 5530 71053700 Xám,35.590.000đ,,,G15 5530 71053700,,,,512GB SSD M.2 PCIe NVMe,,,"15.6 inch FHD (1920x1080), 120Hz",,,HD (720p),,Win11 Home + OfficeHome 24,3 Cell - 56Wh,,,,,,,,Dell,Máy tính xách tay,"Intel Core i7-13650HX up to 4.90GHz, 24MB",16GB DDR5 4800MHz (2x8GB),Nvidia GeForce RTX 3050 6GB GDDR6,,,Bluetooth 5.2,,Xám,"3 x USB 3.2 Gen 1 ports, 1 x HDMI 2.1 port, 1 x USB-C 3.2 Gen 2 port with DisplayPort, 1 x headset (headphone and microphone combo) port, 1 x RJ45 Ethernet port",Intel Wi-Fi 6 2x2 (Gig+),,26.15 mm x 357.26 mm x 274.52 mm (HxWxD),2.81 kg,,,,,,,,,,,,,,,,,,,,,,,,,,N/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop MSI Prestige 16 AI+ Evo B2VMG-016VN Xám ( Cpu Ultra 9-288V, Ram 32GB, SSD 1TB, Vga Intel Arc 140V, UMA, 16 inch OLED UHD+, Win11, Túi, 2Y",45.990.000đ,,,Prestige 16 AI+ Evo B2VMG-016VN,,,,,,,"16.0 inch UHD+ OLED 100%DCI-P3, 60Hz",,,,"Firmware TPM 2.0
Kensington Slot
Cần gạt che Webcam",Windows 11 Home,99.9 Whr,,,,,,,,MSI,Máy tính xách tay,"Intel Core Ultra 9 288V (12MB, Up to 5.10GHz)",32GB LPDDR5x 8533MHz Onboard,Intel Arc 140V,"IR 5MP type(30fps@1944p)
3D Noise Reduction+ (3DNR+)",Wi-Fi 7,Bluetooth v5.4,,Xám,"2x Thunderbolt 4 (DisplayPort / Power Delivery)
1x HDMI 2.1
1x SD Card Reader
1x LAN
1x USB-A 3.2 Gen 2",,,358.4 x 254.4 x 16.85~18.95 mm,1.5kg,,,,,,,,,,,,,,,,,,,,1TB NVMe PCIe Gen4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop MSI Prestige 13 AI+ Evo A2VMG-040VN Xám,38.990.000đ,,,Prestige 13 AI+ Evo A2VMG-040VN,,,,1TB SSD M.2 NVMe PCIe Gen4x4,,,,,,,,Windows 11,4Cell 75Wh,,,,,,,,MSI,Máy tính xách tay,,,,"IR 5MP (30fps@1944p)
3D Noise Reduction+ (3DNR+)",Intel® Killer™ Wi-Fi 7 BE1750(s),Bluetooth v5.4,,Xám,"2 x Thunderbolt™ 4 (DisplayPort™/ Power Delivery 3.0)
1 x Type-A USB3.2 Gen1
1 x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz)
1 x Micro SD Card Reader
1 x Mic-in/Headphone-out Combo",,,299 x 210 x 16.9 mm,0.99 kg,,,"32Gb (onboard) LPDDR5x 8533, Max 32GB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultra 7 258V 2.2GHz,Vga Intel Arc,"13.3 inch 2.8K OLED, VESA DisplayHDR™ 500, 100% DCI-P3 (Typ.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop MSI Katana 15 B13VGK-2065VN Đen,36.990.000đ,,,MSI Katana 15 B13VGK-2065VN,,Nvidia Geforce RTX 4070 8GB GDDR6,,1TB SSD M.2 PCIe,,,"15.6 inch FHD (1920 x 1080), 144Hz 45%NTSC IPS-Level",,,,,Windows 11 Home SEA,"3 cell 53 Wh , Pin liền",359 x 259 x 24.9 mm,,,,,,,MSI,Máy tính xách tay,"Intel® Core™ i7-13620H ( 2.4 GHz - 4.9GHz / 24MB / 10 nhân, 16 luồng ), Non-EVO",,,,,,,Đen,"1 x HDMI, 1 x USB Type-C (support DisplayPort), 2 x USB 3.2 & USB 2.0, 1 x DC-in",,,,2.25 kg,"16GB DDR5 5200MHz, hỗ trợ tối đa 16gb",,,,,,,,,,,,,,,,,,,,"Wi-Fi 6E (802.11ax) , Bluetooth 5.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop MSI Katana 15 B13VEK-2256VN Đen,24.990.000đ,,,Katana 15 B13VEK-2256VN,,"GeForce RTX™ 4050 6GB GDDR6 Intel UHD Graphics ( 2355 MHz , 105W , 194 AI TOPs )",,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),,,"15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 45% NTSC",,,,,Windows 11 Home SEA,"3 cell 53 Wh , Pin liền",359 x 259 x 24.9 mm,,,,,,,MSI,Máy tính xách tay,"Intel® Core™ i7-13620H ( 2.4 GHz - 4.9GHz / 24MB / 10 nhân, 16 luồng ), Non-EVO",,,,,,,Đen,"1 x USB Type C / DisplayPort
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI
LAN 1 Gb/s",,,,2.2 kg,2 x 8GB DDR4 5200MHz ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),,,,,,,,,,,,,,,,,,,,"Wi-Fi 6E (802.11ax) , Bluetooth 5.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop MSI Sword 16 HX B14VEKG-856VN Xám,32.990.000đ,Máy tính xách tay,MSI,MSI Sword 16 HX B14VEKG-856VN,Intel® Core i7-14700HX Processor (Up to 5.5GHz) 8P+12E 20 Cores 28 Threads,Nvidia Geforce RTX 4050 6GB GDDR6,16GB (1x16GB) DDR5 5600MHz,1TB M.2 PCIe 4.0 x4,,,"16"" ( 1920 x 1200 ) WUXGA 16:10 , IPS , 165Hz , không cảm ứng , 100% sRGB","Wi-Fi 6E AX211; Bluetooth 5.3, LAN RJ45 Gigabit","1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","HD Webcam (30fps@720p)
3D Noise Reduction (3DNR)",N/a,Windows 11 Home,4 Cell - 65Whr,359 x 266.4 x 21.8-~27.7 mm,2.3 kg,,,,không,,,,,,,,,,,Xám,,,Nhựa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiclet Keyboard RGB LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop MSI Sword 16 HX B14VEKG-459VN Xám,32.990.000đ,Máy tính xách tay,MSI,MSI Sword 16 HX B14VEKG-459VN,Intel® Core i7-14700HX Processor (Up to 5.5GHz) 8P+12E 20 Cores 28 Threads,Nvidia Geforce RTX 4050 6GB GDDR6,16GB (1x16GB) DDR5 5600MHz,1TB M.2 PCIe 4.0 x4,,,"16 inch FHD+(1920 x 1200), 16:10, 144Hz, IPS-Level Panel","Wi-Fi 6E AX211; Bluetooth 5.3, LAN RJ45 Gigabit","1 x HDMI, 1 x USB TypeC (support DisplayPort / Power Delivery), 3 x USB 3.2 & USB 2.0, 1 x DC-in","HD Webcam (30fps@720p)
3D Noise Reduction (3DNR)",N/a,Windows 11 Home,4 Cell - 65Whr,359 x 266.4 x 21.8-~27.7 mm,2.3 kg,,,,không,,,,,,,,,,,Xám,,,Nhựa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiclet Keyboard RGB LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop MSI Thin 15 B13VE-2824VN Xám,20.790.000đ,,,MSI Thin 15 B13VE-2824VN,,,,"512GB PCIE (1x M.2 SSD slot (NVMe PCIe Gen4), 1x 2.5"" SATA HDD)",,,"15.6 inches FullHD, IPS 144 Hz",,"1 x Type-C (USB3.2 Gen1 / DisplayPort™)
3 x Type-A USB3.2 Gen1
1 x HDMI™ (4K @ 30Hz)
1 x Mic-in
1 x Headphone-out",HD type (30fps@720p),"Mật khẩu
Firmware Trusted Platform Module(fTPM) 2.0
Kensington Lock",Windows 11 Home,3-Cell 52.4 Battery (Whr),,,,,,,,MSI,Máy tính xách tay,"Intel Core i5-13420H  (12MB, Up to 4.60GHz)","16GB DDR4-320, 2 khe (2x 8GB, nâng cấp tối đa 64GB)",,,Gb LAN 802.11 ax Wi-Fi 6E,Bluetooth 5.3,,Xám,,,,359 x 254 x 21.7 mm (W x D x H),1.86 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Lenovo ThinkBook 14 Gen 7 IML 21MR006YVN Xám,21.490.000đ,,,Lenovo ThinkBook 14 Gen 7 IML 21MR006YVN,,,,512GB SSD M.2 2242 PCIe 4.0x4 NVMe,,,"14"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC, 60Hz",,,FHD 1080p + IR Hybrid with Privacy Shutter,,,45Wh,,,,,,,,Lenovo,Máy tính xách tay,"Intel Ultra 5 125U P-core 1.3GHz up to 4.3GHz, E-core 800MHz up to 3.6GHz, 12MB","16GB DDR5 5600Mhz (1x16GB), 2 khe cắm Ram, hỗ trợ tối đa 64GB",Integrated Intel Graphics,,,Bluetooth 5.3,,Xám,"1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), 1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On, 1 x USB-C (USB 10Gbps / USB 3.2 Gen 2), with USB PD 3.1 and DisplayPort 1.4, 1 x USB-C (Thunderbolt 4 / USB4 40Gbps), with USB PD 3.1 and DisplayPort 2.1, 1 x HDMI 2.1, up to 4K/60Hz, 1 x Headphone / microphone combo jack (3.5mm), 1 x Ethernet (RJ-45), 1 x SD card reader","Wi-Fi 6E, 802.11ax 2x2",,313.5 mm x 224 mm x 16.9 mm (WxDxH),1.38 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Lenovo ThinkBook 14 Gen7 IML 21MR006WVN Xám,20.490.000đ,,,ThinkBook 14 Gen7 IML 21MR006WVN,,,,512GB SSD M.2 2242 PCIe 4.0x4 NVMe,,,"14"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC, 60Hz",,,FHD 1080p + IR Hybrid with Privacy Shutter,,,45Wh,,,,,,,,Lenovo,Máy tính xách tay,"Intel Ultra 5 125U P-core 1.3GHz up to 4.3GHz, E-core 800MHz up to 3.6GHz, 12MB","16GB DDR5 5600Mhz (1x16GB), 2 khe cắm Ram, hỗ trợ tối đa 64GB",Integrated Intel Graphics,,,Bluetooth 5.3,,Xám,"1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), 1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On, 1 x USB-C (USB 10Gbps / USB 3.2 Gen 2), with USB PD 3.1 and DisplayPort 1.4, 1 x USB-C (Thunderbolt 4 / USB4 40Gbps), with USB PD 3.1 and DisplayPort 2.1, 1 x HDMI 2.1, up to 4K/60Hz, 1 x Headphone / microphone combo jack (3.5mm), 1 x Ethernet (RJ-45), 1 x SD card reader","Wi-Fi 6E, 802.11ax 2x2",,313.5 mm x 224 mm x 16.9 mm (WxDxH),1.38 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop ASUS ExpertBook B1 B1402CVA-NK0104W Đen,10.590.000đ,,,ExpertBook B1 B1402CVA-NK0104W,,,,256GB M.2 NVMe™ PCIe® 4.0 SSD,,,"14.0inch FHD(1920 x 1080) Anti-glare, 250nit, 45% NTSC, 60Hz",,,Camera HD 720p có chức năng IR hỗ trợ Windows Hello Với màn trập riêng tư,Vân tay,Windows 11 Home,3Cell 42WHrs,,,,,,,,Asus,Máy tính xách tay,"Intel® Core™ i3-1315U (1.20GHz up to 4.50GHz, 10MB Cache)",,,,Wi-Fi 6E(802.11ax) (Băng tần kép) 2*2,Bluetooth 5.3,,Đen,"1 x USB 2.0 Type-A
1 x USB 3.2 Gen 1 Type-A
1 x USB 3.2 Gen 1 Type-C hỗ trợ sạc chuẩn Power Delivery
1 x USB 3.2 thế hệ 2 Type-C hỗ trợ màn hình / sạc nhanh
1 x HDMI 1.4
1 x 3.5mm Combo Audio Jack",,,32.69 x 21.45 x 1.99 ~ 1.99 cm,1.46 kg,8GB DDR4 3200MHz,,,,,,,,,,,,,,,,,,,,,,,Intel® UHD Graphics,,,,,,,,,,,,,,,1 x Micro SD card reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Acer Aspire Lite 16 AL16-52P-572A NX.J2SSV.004,13.990.000đ,,,Aspire Lite 16 AL16-52P-572A NX.J2SSV.004,,,,512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB SSD),,,"16inch FHD+ (WUXGA, 1920 x 1200) 16:10, IPS, 300nits, 60Hz, 45% NTSC, Acer ComfyView™",,,Camera FHD Camera MISC 2M FHD Camera_CTE,,Windows 11,,,,,,,,,Acer,Máy tính xách tay,"Intel® Core™ i5-1334U (1.30GHz up to 4.60GHz, 12MB Cache)",,,,Wi-Fi 6,Bluetooth® 5.1,,,"1 x USB Type-C™ port supporting:
• USB 3.2 Gen 2 (up to 10 Gbps)
• DisplayPort over USB-C
• USB charging 5/9/12/15/20 V; 3.25 A USB Standard A
3 x USB Standard-A ports, supporting:
• Three ports for USB 3.2 Gen 1 microSD card up to 512 GB (SDXC compatible, exFAT compatible)
1 x HDMI® 1.4 port with HDCP support
1 x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone",,"Cover A, B, C, D: ABS Plastic",357.6 (W) x 247 (D) x 18.9 (H) mm,,"16GB (1x16GB) DDR5 4800MHz (2slots, up to 64GB)",Trọng Lượng,,,,,,,,,,,,,,,,,,,,,,Intel® Iris® Xe Graphics,,,,,,3Cell 58WHr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Acer Aspire Lite 16 Gen 2 AL16-52P-76DU NX.J2SSV.005,16.750.000đ,,,Aspire Lite 16 Gen 2 AL16-52P-76DU NX.J2SSV.005,,,,,,,"16inch FHD+ (WUXGA, 1920 x 1200) 16:10, IPS, 300nits, 60Hz, 45% NTSC, Acer ComfyView™",,,Camera FHD Camera MISC 2M FHD Camera_CTE,,,3Cell 58WHr,,,,,,,,Acer,Máy tính xách tay,"Intel® Core™ i7-1355U (1.70GHz up to 5.00GHz, 12MB Cache)",,,,Wi-Fi 6,Bluetooth® 5.1,,Bạc,"1 x USB Type-C™ port supporting:
• USB 3.2 Gen 2 (up to 10 Gbps)
• DisplayPort over USB-C
• USB charging 5/9/12/15/20 V; 3.25 A USB Standard A
3 x USB Standard-A ports, supporting:
• Three ports for USB 3.2 Gen 1 microSD card up to 512 GB (SDXC compatible, exFAT compatible)
1 x HDMI® 1.4 port with HDCP support
1 x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone",,"Cover A, B, C, D: ABS Plastic",357.6 (W) x 247 (D) x 18.9 (H) mm,1.7Kg,"16GB (1x16GB) DDR5 4800MHz (2slots, up to 64GB)",,,,,,,,,,,,,,,,,,,512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB SSD),,,,Intel® Iris® Xe Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus ROG Strix G18 G814JV-N6077W Xám,Liên hệ,,,ROG Strix G18 G814JV-N6077W,,,,,,,"18 inch QHD+ 2.5K, 240Hz, 100% DCI-P3, G-sync, ROG Nebula Display",,,,,Windows 11 Home,4-cell 90WHrs,,,,,,,,Asus,Máy tính xách tay,"Intel Core i7-13650HX (24MB, up to 4.90GHz)","16GB DDR5-4800 SO-DIMM, 2 slots, up to 32GB",NVIDIA® GeForce RTX™ 4060 8GB GDDR6,720P HD camera,Wi-Fi 6E(802.11ax) (Triple band) 2*2,Bluetooth 5.3,,Xám,"1x Thunderbolt™ 4 support DisplayPort™
1x USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort™/Power Delivery/G-SYNC (tốc độ truyền dữ liệu lên tới 10Gbps)
2x USB 3.2 Gen 2 Type-A (tốc độ truyền dữ liệu lên tới 10Gbps)
1x HDMI 2.1 FRL
1 x 3.5mm Combo Audio Jack",,,39.9 x 29.4 x 2.31 ~ 3.08 cm,,,3Kg,,,,,,,,,,,,,,,,,,"1TB PCIe® 4.0 NVMe™ M.2, 2 slots SSD PCIe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim loại,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Gaming ASUS ROG Strix G16 G614JU-N3506W Xám,Liên hệ,,,ROG Strix G16 G614JU-N3506W,,,,"1TB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, nâng cấp tối đa 2TB)",,,"16 inches WUXGA IPS 165Hz,7ms, Độ sáng 250nits, 100%SRGB, G-Sync, Dolby Vision HDR, ROG intelligent cooling",,"1x Cổng LAN RJ45
1x Thunderbolt 4 hỗ trợ DisplayPort (40Gbps)
1x USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort / cung cấp điện / G-SYNC (10Gbps)
2x USB 3.2 Gen 2 Type-A (10Gbps)
1x HDMI 2.1 FRL
1x 3.5mm Combo Audio",720P HD camera,"Mật khẩu quản trị viên BIOS và bảo vệ mật khẩu người dùng
Mô-đun nền tảng đáng tin cậy (Phần mềm TPM)",Windows 11 Home,"90WHrs, 4S1P, 4-cell Li-ion
Sạc lại từ 0-50% trong 30 phút",,,,,,,,Asus,Máy tính xách tay,"Intel Core i5-13450HX 2.4 GHz (20M Cache, up to 4.6 GHz, 10 cores: 6 P-cores and 4 E-cores)","16GB DDR5-4800 SO-DIMM,2x SO-DIMM (Nâng cấp tối đa 32GB)",,,Wi-Fi 6E(802.11ax) (Triple band) 2*2,Bluetooth 5.3,,Xám,,,,35.4 x 26.4 x 2.26 ~ 3.04 cm,2.50 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVIDIA GeForce RTX 4050 6GB GDDR6 (194 AI TOPs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus ZenBook Duo UX8406CA-PZ109WS Xám,59.990.000đ,,,UX8406CA-PZ109WS,,,,,,,"14.0inch 3K (2880 x 1800) OLED 16:10, 0.2ms, 120Hz, 400nits, 500nits HDR peak brightness, 100% DCI-P3, VESA CERTIFIED Display HDR True Black 500, PANTONE Validated, Glossy display, Touch screen - Màn hình cảm ứng",,,FHD camera with IR function to support Windows Hello,,Windows 11 Home,"4Cell 75WHrs, 4S1P",,,,,,,,Asus,Máy tính xách tay,"Intel® Core™ Ultra 9 285H (2.90GHz up to 5.40GHz, 24MB Cache)",,,,Wi-Fi 7(802.11be) (Tri-band)2*2,Bluetooth 5.4,,Xám,"1 x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps)

2 x Thunderbolt™ 4 with support for display / power delivery (data speed up to 40Gbps)

1 x HDMI 2.1 TMDS

1 x 3.5mm Combo Audio Jack",,,"31.35 x 21.79 x 1.46 ~ 1.99 cm (12.34"" x 8.58"" x 0.57"" ~ 0.78"")",1.65 KG,32GB LPDDR5X on board,,,,,,,,,,,,,,,,,,,1TB M.2 NVMe™ PCIe® 4.0 SSD,,,,Intel® Arc™ Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus Zenbook 14 UX3405CA-PZ204WS Xanh,Liên hệ,,,Laptop Asus Zenbook 14 UX3405CA-PZ204WS Xanh,,,,1TB M.2 NVMe™ PCIe® 4.0 SSD,,,"14.0inch 3K (2880 x 1800) OLED 16:10, 0.2ms, 120Hz, 400nits, 500nits HDR peak brightness, 100% DCI-P3, VESA CERTIFIED Display HDR True Black 500, Glossy display,TÜV Rheinland-certified, Touch screen - Màn hình cảm ứng",,,FHD camera with IR function to support Windows Hello ; With privacy shutter,,,"4Cell 75WHrs, 2S2P",,,,,,,,Asus,Máy tính xách tay,"Intel® Core™ Ultra 9 285H (2.90GHz up to 5.40GHz, 24MB Cache)",32GB LPDDR5X on board,,,Wi-Fi 7(802.11be) (Tri-band)2*2,Bluetooth 5.4,,Xanh,"1 x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps)

2 x Thunderbolt™ 4 with support for display / power delivery (data speed up to 40Gbps)

1 x HDMI 2.1 TMDS

1 x 3.5mm Combo Audio Jack",,,31.24 x 22.01 x 1.49 ~ 1.49 cm,1.28 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
